Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20181025,Miami Dolphins,23,Houston Texans,42,Houston Texans -7.5,45.0 (over),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Bart Longson,Back Judge Dino Paganelli,Side Judge James Coleman,Field Judge Brad Rogers
20181028,Philadelphia Eagles,24,Jacksonville Jaguars,18,Philadelphia Eagles -3.5,44.0 (under),Referee John Hussey,Umpire Tony Michalek,Down Judge Kevin Codey,Line Judge Derick Bowers,Back Judge Greg Steed,Side Judge Allen Baynes,Field Judge Don Willard
20181028,Baltimore Ravens,21,Carolina Panthers,36,Baltimore Ravens -2.5,44.0 (over),Referee Peter Morelli,Umpire Steven Woods,Down Judge Steve Stelljes,Line Judge Jeff Seeman,Back Judge Terrence Miles,Side Judge Boris Cheek,Field Judge Anthony Jeffries
20181028,New York Jets,10,Chicago Bears,24,Chicago Bears -8.5,42.5 (under),Referee Clete Blakeman,Umpire Ramon George,Down Judge Dana McKenzie,Line Judge Walt Coleman IV,Back Judge Jim Quirk,Side Judge Dyrol Prioleau,Field Judge Joe Larrew
20181028,Tampa Bay Buccaneers,34,Cincinnati Bengals,37,Cincinnati Bengals -3.5,55.0 (over),Referee Alex Kemp,Umpire Richard Hall,Down Judge Tom Symonette,Line Judge Jeff Bergman,Back Judge Gregory Wilson,Side Judge Aaron Santi,Field Judge John Jenkins
20181028,Seattle Seahawks,28,Detroit Lions,14,Detroit Lions -3.0,48.0 (under),Referee Walt Anderson,Umpire Carl Paganelli,Down Judge Tom Stephan,Line Judge Byron Boston,Back Judge Lee Dyer,Side Judge Rick Patterson,Field Judge Terry Brown
20181028,Denver Broncos,23,Kansas City Chiefs,30,Kansas City Chiefs -8.5,53.0 (push),Referee Shawn Hochuli,Umpire Roy Ellison,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge Mike Weatherford,Field Judge Tom Hill
20181028,Washington Redskins,20,New York Giants,13,Washington Redskins -1.0,44.0 (under),Referee Bill Vinovich,Umpire Bruce Stritesky,Down Judge Phil McKinnely,Line Judge Mark Perlman,Back Judge Steven Patrick,Side Judge Gary Cavaletto,Field Judge Mearl Robinson
20181028,Cleveland Browns,18,Pittsburgh Steelers,33,Pittsburgh Steelers -8.5,47.5 (over),Referee Carl Cheffers,Umpire Barry Anderson,Down Judge Mike Spanier,Line Judge Gary Arthur,Back Judge Todd Prukop,Side Judge Land Clark,Field Judge Eugene Hall
20181028,Indianapolis Colts,42,Oakland Raiders,28,Indianapolis Colts -3.5,51.0 (over),Referee John Parry,Umpire Mark Pellis,Down Judge David Oliver,Line Judge Julian Mapp,Back Judge Perry Paganelli,Side Judge Michael Banks,Field Judge Matt Edwards
20181028,San Francisco 49ers,15,Arizona Cardinals,18,San Francisco 49ers -2.5,40.0 (under),Referee Brad Allen,Umpire Ruben Fowler,Down Judge Jim Mello,Line Judge Brian Bolinger,Back Judge Anthony Josselyn,Side Judge Scott Novak,Field Judge Steve Zimmer
20181028,Green Bay Packers,27,Los Angeles Rams,29,Los Angeles Rams -7.5,57.0 (under),Referee Ron Torbert,Umpire Dan Ferrell,Down Judge Sarah Thomas,Line Judge Mark Steinkerchner,Back Judge Greg Meyer,Side Judge Scott Edwards,Field Judge Jimmy Buchanan
20181028,New Orleans Saints,30,Minnesota Vikings,20,New Orleans Saints -2.5,53.5 (under),Referee Craig Wrolstad,Umpire Paul King,Down Judge Jerod Phillips,Line Judge Carl Johnson,Back Judge Scott Helverson,Side Judge Adrian Hill,Field Judge Jeff Lamberth
20181029,New England Patriots,25,Buffalo Bills,6,New England Patriots -13.5,44.5 (under),Referee Jerome Boger,Umpire Bill Schuster,Down Judge Mike Carr,Line Judge Rusty Baynes,Back Judge Tony Steratore,Side Judge Jonah Monroe,Field Judge Dale Shaw
