Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20211111,Baltimore Ravens,10,Miami Dolphins,22,Baltimore Ravens -7.5,46.5 (under),Referee Ron Torbert,Umpire Mark Pellis,Down Judge Kevin Codey,Line Judge Mark Steinkerchner,Back Judge Tony Josselyn,Side Judge Keith Washington,Field Judge Ryan Dickson
20211114,Jacksonville Jaguars,17,Indianapolis Colts,23,Indianapolis Colts -10.0,47.5 (under),Referee Tony Corrente,Umpire Dan Ferrell,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Don Willard,Field Judge Anthony Jefferies
20211114,Atlanta Falcons,3,Dallas Cowboys,43,Dallas Cowboys -8.0,55.0 (under),Referee Craig Wrolstad,Umpire Steve Woods,Down Judge Jim Mello,Line Judge Tripp Sutter,Back Judge Grantis Bell,Side Judge Jeff Lamberth,Field Judge Terry Brown
20211114,Cleveland Browns,7,New England Patriots,45,New England Patriots -2.5,45.0 (over),Referee John Hussey,Umpire Alan Eck,Down Judge Sarah Thomas,Line Judge Carl Johnson,Back Judge Brad Freeman,Side Judge Allen Baynes,Field Judge Jabir Walker
20211114,Buffalo Bills,45,New York Jets,17,Buffalo Bills -13.0,47.5 (over),Referee Scott Novak,Umpire Ramon George,Down Judge Derick Bowers,Line Judge Walt Coleman,Back Judge Terrence Miles,Side Judge David Meslow,Field Judge Mike Weatherford
20211114,New Orleans Saints,21,Tennessee Titans,23,Tennessee Titans -3.0,44.0 (push),Referee Jerome Boger,Umpire Barry Anderson,Down Judge Frank LeBlanc,Line Judge Rusty Baynes,Back Judge Steve Patrick,Side Judge Jonah Monroe,Field Judge Steve Zimmer
20211114,Detroit Lions,16,Pittsburgh Steelers,16,Pittsburgh Steelers -6.0,41.0 (under),Referee Land Clark,Umpire Paul King,Down Judge Tom Stephan,Line Judge Brian Bolinger,Back Judge Greg Meyer,Side Judge Anthony Flemming,Field Judge Michael Banks
20211114,Tampa Bay Buccaneers,19,Washington Football Team,29,Tampa Bay Buccaneers -9.5,51.0 (under),Referee Brad Rogers,Umpire Carl Paganelli,Down Judge Kent Payne,Line Judge Tom Eaton,Back Judge Greg Steed,Side Judge Dominique Pender,Field Judge Aaron Santi
20211114,Carolina Panthers,34,Arizona Cardinals,10,Arizona Cardinals -10.5,43.0 (over),Referee Adrian Hill,Umpire Roy Ellison,Down Judge David Oliver,Line Judge Mark Stewart,Back Judge Keith Ferguson,Side Judge Jim Quirk,Field Judge Mearl Robinson
20211114,Minnesota Vikings,27,Los Angeles Chargers,20,Los Angeles Chargers -3.0,53.5 (under),Referee Clay Martin,Umpire Fred Bryan,Down Judge Jerod Phillips,Line Judge Maia Chaka,Back Judge Greg Wilson,Side Judge Joe Larrew,Field Judge James Coleman
20211114,Philadelphia Eagles,30,Denver Broncos,13,Denver Broncos -2.0,46.0 (under),Referee Shawn Hochuli,Umpire Terry Killens,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge Chad Hill,Field Judge Tom Hill
20211114,Seattle Seahawks,0,Green Bay Packers,17,Green Bay Packers -3.5,49.5 (under),Referee Brad Allen,Umpire Bruce Stritesky,Down Judge Danny Short,Line Judge Daniel Gallagher,Back Judge Greg Yette,Side Judge Boris Cheek,Field Judge Rick Patterson
20211114,Kansas City Chiefs,41,Las Vegas Raiders,14,Kansas City Chiefs -2.5,52.0 (over),Referee Bill Vinovich,Umpire Tony Michalek,Down Judge Patrick Holt,Line Judge Mark Perlman,Back Judge Jimmy Russell,Side Judge Jimmy Buchanan,Field Judge Joe Blubaugh
20211115,Los Angeles Rams,10,San Francisco 49ers,31,Los Angeles Rams -4.0,49.5 (under),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Michael Dolce,Back Judge Dino Paganelli,Side Judge Dave Hawkshaw,Field Judge Dyrol Prioleau
