Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20181115,Green Bay Packers,24,Seattle Seahawks,27,Seattle Seahawks -3.0,49.0 (over),Referee Tony Corrente,Umpire Alan Eck,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Ryan Dickson,Field Judge Keith Washington
20181118,Dallas Cowboys,22,Atlanta Falcons,19,Atlanta Falcons -3.5,50.0 (under),Referee Craig Wrolstad,Umpire Paul King,Down Judge Jerod Phillips,Line Judge Carl Johnson,Back Judge Scott Helverson,Side Judge Adrian Hill,Field Judge Jeff Lamberth
20181118,Tennessee Titans,10,Indianapolis Colts,38,Indianapolis Colts -1.0,50.0 (under),Referee John Hussey,Umpire Tony Michalek,Down Judge Kevin Codey,Line Judge Derick Bowers,Back Judge Greg Steed,Side Judge Allen Baynes,Field Judge Don Willard
20181118,Carolina Panthers,19,Detroit Lions,20,Carolina Panthers -4.0,48.0 (under),Referee Clay Martin,Umpire Fred Bryan,Down Judge Danny Short,Line Judge Kent Payne,Back Judge Gregory Wilson,Side Judge Jonah Monroe,Field Judge David Meslow
20181118,Pittsburgh Steelers,20,Jacksonville Jaguars,16,Pittsburgh Steelers -4.0,47.0 (under),Referee Walt Anderson,Umpire Carl Paganelli,Down Judge Tom Stephan,Line Judge Byron Boston,Back Judge Lee Dyer,Side Judge Rick Patterson,Field Judge Joe Larrew
20181118,Tampa Bay Buccaneers,35,New York Giants,38,New York Giants -3.0,53.5 (over),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Bart Longson,Back Judge Dino Paganelli,Side Judge James Coleman,Field Judge Brad Rogers
20181118,Cincinnati Bengals,21,Baltimore Ravens,24,Baltimore Ravens -6.5,44.0 (over),Referee Walt Coleman,Umpire Jeff Rice,Down Judge Jerry Bergman,Line Judge Mark Stewart,Back Judge Greg Yette,Side Judge Jabir Walker,Field Judge Greg Gautreaux
20181118,Houston Texans,23,Washington Redskins,21,Houston Texans -3.0,40.5 (over),Referee Alex Kemp,Umpire Richard Hall,Down Judge Tom Symonette,Line Judge Jeff Bergman,Back Judge Steve Freeman,Side Judge Aaron Santi,Field Judge John Jenkins
20181118,Oakland Raiders,23,Arizona Cardinals,21,Arizona Cardinals -4.5,41.0 (over),Referee Jerome Boger,Umpire Bill Schuster,Down Judge Mike Carr,Line Judge Walt Coleman IV,Back Judge Jim Quirk,Side Judge Dyrol Prioleau,Field Judge Mike Weatherford
20181118,Denver Broncos,23,Los Angeles Chargers,22,Los Angeles Chargers -7.5,46.5 (under),Referee Peter Morelli,Umpire Steven Woods,Down Judge Steve Stelljes,Line Judge Jeff Seeman,Back Judge Keith Ferguson,Side Judge Boris Cheek,Field Judge Anthony Jeffries
20181118,Philadelphia Eagles,7,New Orleans Saints,48,New Orleans Saints -7.0,56.5 (under),Referee Carl Cheffers,Umpire Barry Anderson,Down Judge Mike Spanier,Line Judge Gary Arthur,Back Judge Greg Meyer,Side Judge Eugene Hall,Field Judge Land Clark
20181118,Minnesota Vikings,20,Chicago Bears,25,Chicago Bears -2.5,44.0 (over),Referee John Parry,Umpire Mark Pellis,Down Judge David Oliver,Line Judge Julian Mapp,Back Judge Perry Paganelli,Side Judge Michael Banks,Field Judge Terry Brown
20181119,Kansas City Chiefs,51,Los Angeles Rams,54,Los Angeles Rams -3.0,63.5 (over),Referee Clete Blakeman,Umpire George Ramon,Down Judge Dana McKenzie,Line Judge Rusty Baynes,Back Judge Tony Steratore,Side Judge Brad Freeman,Field Judge Dale Shaw
