Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20181004,Indianapolis Colts,24,New England Patriots,38,New England Patriots -10.5,49.5 (over),Officials,Referee Shawn Hochuli,Umpire Roy Ellison,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge Chad Hill,Field Judge Tom Hill
20181007,Tennessee Titans,12,Buffalo Bills,13,Tennessee Titans -6.0,38.5 (under),Referee Tony Corrente,Umpire Alan Eck,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Ryan Dickson,Field Judge Keith Washington
20181007,New York Giants,31,Carolina Panthers,33,Carolina Panthers -7.0,43.5 (over),Referee Jerome Boger,Umpire Bill Schuster,Down Judge Mike Carr,Line Judge Rusty Baynes,Back Judge Tony Steratore,Side Judge Jonah Monroe,Field Judge Dale Shaw
20181007,Miami Dolphins,17,Cincinnati Bengals,27,Cincinnati Bengals -6.5,47.5 (under),Referee Craig Wrolstad,Umpire Paul King,Down Judge Jerod Phillips,Line Judge Carl Johnson,Back Judge Scott Helverson,Side Judge Adrian Hill,Field Judge Jeff Lamberth
20181007,Baltimore Ravens,9,Cleveland Browns,12,Baltimore Ravens -3.0,44.5 (under),Referee Clay Martin,Umpire Fred Bryan,Down Judge Danny Short,Line Judge Kent Payne,Back Judge Gregory Wilson,Side Judge Brad Freeman,Field Judge David Meslow
20181007,Green Bay Packers,23,Detroit Lions,31,Detroit Lions -1.0,50.0 (over),Referee John Hussey,Umpire Tony Michalek,Down Judge Kevin Codey,Line Judge Derick Bowers,Back Judge Greg Steed,Side Judge Allen Baynes,Field Judge Mike Weatherford
20181007,Jacksonville Jaguars,14,Kansas City Chiefs,30,Kansas City Chiefs -3.0,48.0 (under),Referee Brad Allen,Umpire Ruben Fowler,Down Judge Jim Mello,Line Judge Brian Bolinger,Back Judge Terrence Miles,Side Judge Scott Novak,Field Judge Steve Zimmer
20181007,Denver Broncos,16,New York Jets,34,New York Jets -1.0,43.0 (over),Referee Peter Morelli,Umpire Steven Woods,Down Judge Steve Stelljes,Line Judge Jeff Seeman,Back Judge Keith Ferguson,Side Judge Boris Cheek,Field Judge Anthony Jeffries
20181007,Atlanta Falcons,17,Pittsburgh Steelers,41,Pittsburgh Steelers -3.5,57.0 (over),Referee John Parry,Umpire Mark Pellis,Down Judge David Oliver,Line Judge Julian Mapp,Back Judge Perry Paganelli,Side Judge Michael Banks,Field Judge Matt Edwards
20181007,Oakland Raiders,10,Los Angeles Chargers,26,Los Angeles Chargers -5.0,52.0 (under),Referee Alex Kemp,Umpire Richard Hall,Down Judge Tom Symonette,Line Judge Jeff Bergman,Back Judge Lee Dyer,Side Judge Aaron Santi,Field Judge John Jenkins
20181007,Minnesota Vikings,23,Philadelphia Eagles,21,Philadelphia Eagles -3.5,48.0 (under),Referee Walt Coleman,Umpire Jeff Rice,Down Judge Jerry Bergman,Line Judge Mark Stewart,Back Judge Greg Yette,Side Judge Jabir Walker,Field Judge Greg Gautreaux
20181007,Los Angeles Rams,33,Seattle Seahawks,31,Los Angeles Rams -7.5,50.5 (over),Referee Clete Blakeman,Umpire Ramon George,Down Judge Dana McKenzie,Line Judge Walt Coleman IV,Back Judge Jim Quirk,Side Judge Dyrol Prioleau,Field Judge Joe Larrew
20181007,Arizona Cardinals,28,San Francisco 49ers,18,San Francisco 49ers -3.0,40.5 (over),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Bart Longson,Back Judge Dino Paganelli,Side Judge James Coleman,Field Judge Brad Rogers
20181007,Dallas Cowboys,16,Houston Texans,19,Houston Texans -3.5,45.5 (under),Referee Bill Vinovich,Umpire Bruce Stritesky,Down Judge Mike Spanier,Line Judge Mark Perlman,Back Judge Steven Patrick,Side Judge Gary Cavaletto,Field Judge Mearl Robinson
20181008,Washington Redskins,19,New Orleans Saints,43,New Orleans Saints -5.5,51.5 (over),Referee Carl Cheffers,Umpire Barry Anderson,Down Judge Hugo Cruz,Line Judge Gary Arthur,Back Judge Greg Meyer,Side Judge Eugene Hall,Field Judge Land Clark
