Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20201022,New York Giants,21,Philadelphia Eagles,22,Philadelphia Eagles -5.0,44.5 (under),Referee Adrian Hill,Umpire Paul King,Down Judge Ed Camp,Line Judge Kevin Codey,Back Judge Greg Steed,Side Judge Keith Washington,Field Judge Jim Quirk
20201025,Detroit Lions,23,Atlanta Falcons,22,Atlanta Falcons -1.0,54.0 (under),Referee Land Clark,Umpire Alan Eck,Down Judge Julian Mapp,Line Judge Mark Stewart,Back Judge Tony Josselyn,Side Judge Mearl Robinson,Field Judge Dale Shaw
20201025,Cleveland Browns,37,Cincinnati Bengals,34,Cleveland Browns -4.5,50.0 (over),Referee Tony Corrente,Umpire Dan Ferrell,Down Judge Mark Perlman,Line Judge Greg Bradley,Back Judge Todd Prukop,Side Judge Anthony Flemming,Field Judge Ryan Dickson
20201025,Green Bay Packers,35,Houston Texans,20,Green Bay Packers -2.5,55.5 (under),Referee Clay Martin,Umpire Tony Michalek,Down Judge Derick Bowers,Line Judge Frank LeBlanc,Back Judge Steve Patrick,Side Judge Eugene Hall,Field Judge Mike Weatherford
20201025,Carolina Panthers,24,New Orleans Saints,27,New Orleans Saints -7.0,49.5 (over),Referee Craig Wrolstad,Umpire Ruben Fowler,Down Judge Jerry Bergman,Line Judge Thomas Eaton,Back Judge Perry Paganelli,Side Judge Dave Hawkshaw,Field Judge Aaron Santi
20201025,Buffalo Bills,18,New York Jets,10,Buffalo Bills -9.5,47.0 (under),Referee Carl Cheffers,Umpire Terry Killens,Down Judge Patrick Turner,Line Judge Tom Symonette,Back Judge Greg Wilson,Side Judge Jabir Walker,Field Judge Terry Brown
20201025,Pittsburgh Steelers,27,Tennessee Titans,24,Tennessee Titans -1.0,51.0 (push),Referee Shawn Hochuli,Umpire Carl Paganelli,Down Judge Sarah Thomas,Line Judge Carl Johnson,Back Judge Rich Martinez,Side Judge Chad Hill,Field Judge Dominique Pender
20201025,Dallas Cowboys,3,Washington Football Team,25,Dallas Cowboys -1.0,44.5 (under),Referee Ronald Torbert,Umpire Mark Pellis,Down Judge Patrick Holt,Line Judge Jim Mello,Back Judge Greg Yette,Side Judge James Coleman,Field Judge Tra Blake
20201025,Tampa Bay Buccaneers,45,Las Vegas Raiders,20,Tampa Bay Buccaneers -3.5,51.5 (over),Referee Scott Novak,Umpire Steven Woods,Down Judge Kent Payne,Line Judge David Oliver,Back Judge Terrence Miles,Side Judge Scott Edwards,Field Judge John Jenkins
20201025,Kansas City Chiefs,43,Denver Broncos,16,Kansas City Chiefs -7.0,46.0 (over),Referee Brad Rogers,Umpire Tab Slaughter,Down Judge Tripp Sutter,Line Judge Walt Coleman IV,Back Judge Greg Meyer,Side Judge Jeff Lamberth,Field Judge Nathan Jones
20201025,San Francisco 49ers,33,New England Patriots,6,New England Patriots -3.0,44.5 (under),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Michael Dolce,Line Judge Mark Steinkerchner,Back Judge Dino Paganelli,Side Judge Jimmy Buchanan,Field Judge Steve Zimmer
20201025,Jacksonville Jaguars,29,Los Angeles Chargers,39,Los Angeles Chargers -8.0,48.0 (over),Referee Clete Blakeman,Umpire Fred Bryan,Down Judge Mark Hittner,Line Judge Tom Stephan,Back Judge Scott Helverson,Side Judge Michael Banks,Field Judge Joe Blubaugh
20201025,Seattle Seahawks,34,Arizona Cardinals,37,Seattle Seahawks -3.5,55.5 (over),Referee John Hussey,Umpire Roy Ellison,Down Judge Brian Bolinger,Line Judge Tim Podraza,Back Judge Grantis Bell,Side Judge Allen Baynes,Field Judge Clay Reynard
20201026,Chicago Bears,10,Los Angeles Rams,24,Los Angeles Rams -6.5,44.0 (under),Referee Bill Vinovich,Umpire Richard Hall,Down Judge Mike Carr,Line Judge Jeff Seeman,Back Judge Keith Ferguson,Side Judge Don Willard,Field Judge David Meslow
