Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20210930,Jacksonville Jaguars,21,Cincinnati Bengals,24,Cincinnati Bengals -7.5,46.5 (under),Referee Brad Allen,Umpire Bruce Stritesky,Down Judge Danny Short,Line Judge Daniel Gallagher,Back Judge Greg Yette,Side Judge Boris Cheek,Field Judge Rick Patterson
20211003,Washington Football Team,34,Atlanta Falcons,30,Washington Football Team -2.0,48.0 (over),Referee Clay Martin,Umpire Fred Bryan,Down Judge Jerod Phillips,Line Judge Maia Chaka,Back Judge Greg Wilson,Side Judge Joe Larrew,Field Judge James Coleman
20211003,Houston Texans,0,Buffalo Bills,40,Buffalo Bills -17.5,47.0 (under),Referee Ron Torbert,Umpire Mark Pellis,Down Judge Kevin Codey,Line Judge Mark Steinkerchner,Back Judge Tony Josselyn,Side Judge Keith Washington,Field Judge Ryan Dickson
20211003,Detroit Lions,14,Chicago Bears,24,Chicago Bears -3.0,41.5 (under),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Michael Dolce,Back Judge Dino Paganelli,Side Judge Dave Hawkshaw,Field Judge Dyrol Prioleau
20211003,Carolina Panthers,28,Dallas Cowboys,36,Dallas Cowboys -4.0,51.5 (over),Referee Jerome Boger,Umpire Barry Anderson,Down Judge Frank LeBlanc,Line Judge Rusty Baynes,Back Judge Steve Patrick,Side Judge Jonah Monroe,Field Judge Steve Zimmer
20211003,Indianapolis Colts,27,Miami Dolphins,17,Miami Dolphins -2.5,42.5 (over),Referee Alex Kemp,Umpire Rich Hall,Down Judge Mike Carr,Line Judge Jeff Bergman,Back Judge Scott Helverson,Side Judge Dale Shaw,Field Judge John Jenkins
20211003,Cleveland Browns,14,Minnesota Vikings,7,Cleveland Browns -1.0,51.5 (under),Referee Tony Corrente,Umpire Dan Ferrell,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Don Willard,Field Judge Anthony Jefferies
20211003,New York Giants,27,New Orleans Saints,21,New Orleans Saints -7.0,41.5 (over),Referee Brad Rogers,Umpire Carl Paganelli,Down Judge Kent Payne,Line Judge Tom Eaton,Back Judge Greg Steed,Side Judge Dominique Pender,Field Judge Aaron Santi
20211003,Tennessee Titans,24,New York Jets,27,Tennessee Titans -6.0,44.0 (over),Referee Adrian Hill,Umpire Roy Ellison,Down Judge David Oliver,Line Judge Mark Stewart,Back Judge Keith Ferguson,Side Judge Jim Quirk,Field Judge Mearl Robinson
20211003,Kansas City Chiefs,42,Philadelphia Eagles,30,Kansas City Chiefs -7.0,54.5 (over),Referee Land Clark,Umpire Paul King,Down Judge Tom Stephan,Line Judge Brian Bolinger,Back Judge Greg Meyer,Side Judge Anthony Flemming,Field Judge Michael Banks
20211003,Arizona Cardinals,37,Los Angeles Rams,20,Los Angeles Rams -4.0,49.5 (over),Referee Shawn Hochuli,Umpire Terry Killens,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge Chad Hill,Field Judge Tom Hill
20211003,Seattle Seahawks,28,San Francisco 49ers,21,San Francisco 49ers -2.5,52.0 (under),Referee Carl Cheffers,Umpire Tra Blake,Down Judge Jerry Bergman,Line Judge Jeff Seeman,Back Judge Matt Edwards,Side Judge Eugene Hall,Field Judge Nathan Jones
20211003,Baltimore Ravens,23,Denver Broncos,7,Baltimore Ravens -1.0,44.0 (under),Referee Craig Wrolstad,Umpire Steve Woods,Down Judge Jim Mello,Line Judge Tripp Sutter,Back Judge Grantis Bell,Side Judge Jeff Lamberth,Field Judge Terry Brown
20211003,Pittsburgh Steelers,17,Green Bay Packers,27,Green Bay Packers -6.0,44.5 (under),Referee Scott Novak,Umpire Ramon George,Down Judge Derick Bowers,Line Judge Walt Coleman,Back Judge Terrence Miles,Side Judge David Meslow,Field Judge Mike Weatherford
20211003,Tampa Bay Buccaneers,19,New England Patriots,17,Tampa Bay Buccaneers -7.0,49.5 (under),Referee Bill Vinovich,Umpire Tony Michalek,Down Judge Patrick Holt,Line Judge Mark Perlman,Back Judge Jimmy Russell,Side Judge Jimmy Buchanan,Field Judge Joe Blubaugh
20211004,Las Vegas Raiders,14,Los Angeles Chargers,28,Los Angeles Chargers -3.0,52.0 (under),Referee John Hussey,Umpire Alan Eck,Down Judge Sarah Thomas,Line Judge Carl Johnson,Back Judge Brad Freeman,Side Judge Allen Baynes,Field Judge Jabir Walker
