Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20181222,Washington Redskins,16,Tennessee Titans,25,Tennessee Titans -11.5,37.5 (over),Referee John Hussey,Umpire Tony Michalek,Down Judge Kevin Codey,Line Judge Derick Bowers,Back Judge Greg Steed,Side Judge Allen Baynes,Field Judge Don Willard
20181222,Baltimore Ravens,22,Los Angeles Chargers,10,Los Angeles Chargers -4.0,42.5 (under),Referee Clete Blakeman,Umpire Ramon George,Down Judge Dana McKenzie,Line Judge Walt Coleman IV,Back Judge Jim Quirk,Side Judge Eugene Hall,Field Judge Joe Larrew
20181223,Atlanta Falcons,24,Carolina Panthers,10,Atlanta Falcons -3.0,46.0 (under),Referee Peter Morelli,Umpire Steven Woods,Down Judge Steve Stelljes,Line Judge Jeff Seeman,Back Judge Keith Ferguson,Side Judge Boris Cheek,Field Judge Anthony Jeffries
20181223,Cincinnati Bengals,18,Cleveland Browns,26,Cleveland Browns -10.0,44.0 (push),Referee Tony Corrente,Umpire Alan Eck,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Ryan Dickson,Field Judge Keith Washington
20181223,New York Giants,27,Indianapolis Colts,28,Indianapolis Colts -10.0,48.5 (over),Referee Brad Allen,Umpire Ruben Fowler,Down Judge Jim Mello,Line Judge Brian Bolinger,Back Judge Terrence Miles,Side Judge Adrian Hill,Field Judge Dale Shaw
20181223,Tampa Bay Buccaneers,20,Dallas Cowboys,27,Dallas Cowboys -7.5,48.0 (under),Referee Shawn Hochuli,Umpire Roy Ellison,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge Chad Hill,Field Judge Steve Zimmer
20181223,Minnesota Vikings,27,Detroit Lions,9,Minnesota Vikings -6.5,42.5 (under),Referee Walt Anderson,Umpire Carl Paganelli,Down Judge Tom Stephan,Line Judge Byron Boston,Back Judge Dino Paganelli,Side Judge Rick Patterson,Field Judge Terry Brown
20181223,Jacksonville Jaguars,17,Miami Dolphins,7,Miami Dolphins -3.0,39.5 (under),Referee Clay Martin,Umpire Fred Bryan,Down Judge Danny Short,Line Judge Kent Payne,Back Judge Steven Patrick,Side Judge Brad Freeman,Field Judge David Meslow
20181223,Buffalo Bills,12,New England Patriots,24,New England Patriots -13.5,45.0 (under),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Bart Longson,Back Judge Lee Dyer,Side Judge James Coleman,Field Judge Matt Edwards
20181223,Green Bay Packers,44,New York Jets,38,Green Bay Packers -3.0,47.5 (over),Referee Ron Torbert,Umpire Dan Ferrell,Down Judge Sarah Thomas,Line Judge Mark Steinkerchner,Back Judge Anthony Josselyn,Side Judge Scott Edwards,Field Judge Jimmy Buchanan
20181223,Houston Texans,30,Philadelphia Eagles,32,Philadelphia Eagles -1.0,46.5 (over),Referee John Parry,Umpire Mark Pellis,Down Judge David Oliver,Line Judge Julian Mapp,Back Judge Perry Paganelli,Side Judge Michael Banks,Field Judge Brad Rogers
20181223,Los Angeles Rams,31,Arizona Cardinals,9,Los Angeles Rams -14.5,43.0 (under),Referee Walt Coleman,Umpire Jeff Rice,Down Judge Jerry Bergman,Line Judge Mark Stewart,Back Judge Greg Yette,Side Judge Jabir Walker,Field Judge Jeff Lamberth
20181223,Chicago Bears,14,San Francisco 49ers,9,Chicago Bears -4.0,44.0 (under),Referee Alex Kemp,Umpire Richard Hall,Down Judge Tom Symonette,Line Judge Jeff Bergman,Back Judge Steve Freeman,Side Judge Aaron Santi,Field Judge John Jenkins
20181223,Pittsburgh Steelers,28,New Orleans Saints,31,New Orleans Saints -6.5,53.0 (over),Referee Craig Wrolstad,Umpire Paul King,Down Judge Jerod Phillips,Line Judge Carl Johnson,Back Judge Scott Helverson,Side Judge Dyrol Prioleau,Field Judge Tom Hill
20181223,Kansas City Chiefs,31,Seattle Seahawks,38,Kansas City Chiefs -1.0,54.5 (over),Referee Bill Vinovich,Umpire Bruce Stritesky,Down Judge Phil McKinnely,Line Judge Mark Perlman,Back Judge Gregory Wilson,Side Judge Gary Cavaletto,Field Judge Mearl Robinson
20181224,Denver Broncos,14,Oakland Raiders,27,Denver Broncos -2.5,42.5 (under),Referee Carl Cheffers,Umpire Barry Anderson,Down Judge Mike Spanier,Line Judge Gary Arthur,Back Judge Greg Meyer,Side Judge Scott Novak,Field Judge Land Clark
