Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20200910,Houston Texans,20,Kansas City Chiefs,34,Kansas City Chiefs -9.5,53.5 (over),Referee Clete Blakeman,Umpire Fred Bryan,Down Judge Mark Hittner,Line Judge Tom Stephan,Back Judge Scott Helverson,Side Judge Michael Banks,Field Judge Joe Blubaugh
20200913,Seattle Seahawks,38,Atlanta Falcons,25,Atlanta Falcons -1.0,49.5 (over),Referee Shawn Hochuli,Umpire Ramon George,Down Judge Sarah Thomas,Line Judge Carl Johnson,Back Judge Rich Martinez,Side Judge Chad Hill,Field Judge Tom Hill
20200913,New York Jets,17,Buffalo Bills,27,Buffalo Bills -6.5,39.5 (over),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Michael Dolce,Line Judge Mark Steinkerchner,Back Judge Dino Paganelli,Side Judge Jimmy Buchanan,Field Judge Dyrol Prioleau
20200913,Las Vegas Raiders,34,Carolina Panthers,30,Las Vegas Raiders -3.0,48.0 (over),Referee Brad Allen,Umpire Bruce Stritesky,Down Judge Danny Short,Line Judge Mark Stewart,Back Judge Jimmy Russell,Side Judge Boris Cheek,Field Judge Rick Patterson
20200913,Chicago Bears,27,Detroit Lions,23,Detroit Lions -2.5,42.5 (over),Referee Alex Kemp,Umpire Carl Paganelli,Down Judge Dana McKenzie,Line Judge Greg Bradley,Back Judge Matt Edwards,Side Judge Jabir Walker,Field Judge Terry Brown
20200913,Indianapolis Colts,20,Jacksonville Jaguars,27,Indianapolis Colts -7.0,44.0 (over),Referee John Hussey,Umpire Roy Ellison,Down Judge Brian Bolinger,Line Judge Tom Symonette,Back Judge Grantis Bell,Side Judge Allen Baynes,Field Judge Steve Zimmer
20200913,Green Bay Packers,43,Minnesota Vikings,34,Minnesota Vikings -1.0,44.0 (over),Referee Bill Vinovich,Umpire Tony Michalek,Down Judge Mike Carr,Line Judge Jeff Seeman,Back Judge Perry Paganelli,Side Judge Don Willard,Field Judge David Meslow
20200913,Miami Dolphins,11,New England Patriots,21,New England Patriots -7.5,41.5 (under),Referee Adrian Hill,Umpire Paul King,Down Judge Ed Camp,Line Judge Kevin Codey,Back Judge Greg Steed,Side Judge Keith Washington,Field Judge Jim Quirk
20200913,Cleveland Browns,6,Baltimore Ravens,38,Baltimore Ravens -7.0,47.0 (under),Referee Ronald Torbert,Umpire Mark Pellis,Down Judge Patrick Holt,Line Judge Jim Mello,Back Judge Greg Yette,Side Judge Jonah Monroe,Field Judge James Coleman
20200913,Philadelphia Eagles,17,Washington Football Team,27,Philadelphia Eagles -5.5,41.5 (over),Referee Brad Rogers,Umpire Tab Slaughter,Down Judge Jerod Phillips,Line Judge Walt Coleman IV,Back Judge Greg Meyer,Side Judge Eugene Hall,Field Judge Nathan Jones
20200913,Los Angeles Chargers,16,Cincinnati Bengals,13,Los Angeles Chargers -2.5,41.5 (under),Referee Clay Martin,Umpire Terry Killens,Down Judge Derick Bowers,Line Judge Frank LeBlanc,Back Judge Steve Patrick,Side Judge Jeff Lamberth,Field Judge Mike Weatherford
20200913,Tampa Bay Buccaneers,23,New Orleans Saints,34,New Orleans Saints -4.0,48.5 (over),Referee Jerome Boger,Umpire Barry Anderson,Down Judge Julian Mapp,Line Judge Rusty Baynes,Back Judge Brad Freeman,Side Judge Anthony Jeffries,Field Judge Dale Shaw
20200913,Arizona Cardinals,24,San Francisco 49ers,20,San Francisco 49ers -7.0,48.5 (under),Referee Carl Cheffers,Umpire Richard Hall,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Greg Wilson,Side Judge Clay Reynard,Field Judge Gary Cavaletto
20200913,Dallas Cowboys,17,Los Angeles Rams,20,Los Angeles Rams -1.0,52.0 (under),Referee Tony Corrente,Umpire Dan Ferrell,Down Judge Mark Perlman,Line Judge Bart Longson,Back Judge Todd Prukop,Side Judge Anthony Flemming,Field Judge Ryan Dickson
20200914,Pittsburgh Steelers,26,New York Giants,16,Pittsburgh Steelers -6.0,44.0 (under),Referee Craig Wrolstad,Umpire Ruben Fowler,Down Judge Jerry Bergman,Line Judge Thomas Eaton,Back Judge Keith Ferguson,Side Judge Dave Hawkshaw,Field Judge Aaron Santi
20200914,Tennessee Titans,16,Denver Broncos,14,Tennessee Titans -3.5,41.5 (under),Referee Scott Novak,Umpire Steven Woods,Down Judge Kent Payne,Line Judge David Oliver,Back Judge Terrence Miles,Side Judge Scott Edwards,Field Judge John Jenkins
