Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20181018,Denver Broncos,45,Arizona Cardinals,10,Denver Broncos -1.0,42.5 (over),Referee Alex Kemp,Umpire Richard Hall,Down Judge Tom Symonette,Line Judge Jeff Bergman,Back Judge Greg Meyer,Side Judge Aaron Santi,Field Judge John Jenkins
20181021,Tennessee Titans,19,Los Angeles Chargers,20,Los Angeles Chargers -6.5,46.0 (under),Referee Walt Coleman,Umpire Jeff Rice,Down Judge Jerry Bergman,Line Judge Mark Stewart,Back Judge Greg Yette,Side Judge Jabir Walker,Field Judge Greg Gautreaux
20181021,New England Patriots,38,Chicago Bears,31,New England Patriots -1.0,48.5 (over),Referee Clay Martin,Umpire Fred Bryan,Down Judge Danny Short,Line Judge Kent Payne,Back Judge Gregory Wilson,Side Judge Brad Freeman,Field Judge David Meslow
20181021,Buffalo Bills,5,Indianapolis Colts,37,Indianapolis Colts -7.0,43.5 (under),Referee Brad Allen,Umpire Ruben Fowler,Down Judge Jim Mello,Line Judge Brian Bolinger,Back Judge Terrence Miles,Side Judge Scott Novak,Field Judge Jimmy Buchanan
20181021,Houston Texans,20,Jacksonville Jaguars,7,Jacksonville Jaguars -3.5,42.5 (under),Referee Ron Torbert,Umpire Dan Ferrell,Down Judge Sarah Thomas,Line Judge Mark Steinkerchner,Back Judge Anthony Josselyn,Side Judge Scott Edwards,Field Judge Mike Weatherford
20181021,Detroit Lions,32,Miami Dolphins,21,Detroit Lions -3.0,47.0 (over),Referee Jerome Boger,Umpire Bill Schuster,Down Judge Mike Spanier,Line Judge Rusty Baynes,Back Judge Tony Steratore,Side Judge Jonah Monroe,Field Judge Dale Shaw
20181021,Minnesota Vikings,37,New York Jets,17,Minnesota Vikings -3.5,45.0 (over),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Bart Longson,Back Judge Dino Paganelli,Side Judge James Coleman,Field Judge Don Willard
20181021,Carolina Panthers,21,Philadelphia Eagles,17,Philadelphia Eagles -5.0,45.0 (under),Referee Clete Blakeman,Umpire Ramon George,Down Judge Dana McKenzie,Line Judge Walt Coleman IV,Back Judge Jim Quirk,Side Judge Dyrol Prioleau,Field Judge Joe Larrew
20181021,Cleveland Browns,23,Tampa Bay Buccaneers,26,Tampa Bay Buccaneers -3.5,52.5 (under),Referee Shawn Hochuli,Umpire Roy Ellison,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge Chad Hill,Field Judge Tom Hill
20181021,New Orleans Saints,24,Baltimore Ravens,23,Baltimore Ravens -2.5,49.0 (under),Referee John Parry,Umpire Mark Pellis,Down Judge David Oliver,Line Judge Julian Mapp,Back Judge Perry Paganelli,Side Judge Michael Banks,Field Judge Matt Edwards
20181021,Los Angeles Rams,39,San Francisco 49ers,10,Los Angeles Rams -8.0,52.0 (under),Referee Walt Anderson,Umpire Carl Paganelli,Down Judge Tom Stephan,Line Judge Byron Boston,Back Judge Lee Dyer,Side Judge Rick Patterson,Field Judge Terry Brown
20181021,Dallas Cowboys,17,Washington Redskins,20,Dallas Cowboys -1.0,40.5 (under),Referee John Hussey,Umpire Tony Michalek,Down Judge Kevin Codey,Line Judge Derick Bowers,Back Judge Greg Steed,Side Judge Allen Baynes,Field Judge Steve Zimmer
20181021,Cincinnati Bengals,10,Kansas City Chiefs,45,Kansas City Chiefs -6.5,56.0 (under),Referee Bill Vinovich,Umpire Bruce Stritesky,Down Judge Phil McKinnely,Line Judge Mark Perlman,Back Judge Steven Patrick,Side Judge Gary Cavaletto,Field Judge Mearl Robinson
20181022,New York Giants,20,Atlanta Falcons,23,Atlanta Falcons -4.5,52.0 (under),Referee Tony Corrente,Umpire Alan Eck,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Ryan Dickson,Field Judge Keith Washington
