Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20201105,Green Bay Packers,34,San Francisco 49ers,17,Green Bay Packers -6.0,48.5 (over),Referee Bill Vinovich,Umpire Terry Killens,Down Judge Jerry Bergman,Line Judge Jeff Seeman,Back Judge Perry Paganelli,Side Judge Don Willard,Field Judge David Meslow
20201108,Denver Broncos,27,Atlanta Falcons,34,Atlanta Falcons -4.5,50.5 (over),Referee Jerome Boger,Umpire Barry Anderson,Down Judge Julian Mapp,Line Judge Tom Symonette,Back Judge Brad Freeman,Side Judge Anthony Jeffries,Field Judge Tra Blake
20201108,Seattle Seahawks,34,Buffalo Bills,44,Seattle Seahawks -3.0,55.5 (over),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Michael Dolce,Line Judge Mark Steinkerchner,Back Judge Dino Paganelli,Side Judge Jimmy Buchanan,Field Judge Dyrol Prioleau
20201108,Baltimore Ravens,24,Indianapolis Colts,10,Indianapolis Colts -1.0,47.5 (under),Referee Adrian Hill,Umpire Paul King,Down Judge Ed Camp,Line Judge Kevin Codey,Back Judge Greg Steed,Side Judge Keith Washington,Field Judge Dominique Pender
20201108,Houston Texans,27,Jacksonville Jaguars,25,Houston Texans -7.0,49.0 (over),Referee Brad Allen,Umpire Bruce Stritesky,Down Judge Danny Short,Line Judge Daniel Gallagher,Back Judge Jimmy Russell,Side Judge Boris Cheek,Field Judge Rick Patterson
20201108,Carolina Panthers,31,Kansas City Chiefs,33,Kansas City Chiefs -10.0,51.5 (over),Referee Clay Martin,Umpire Tony Michalek,Down Judge Derick Bowers,Line Judge Frank LeBlanc,Back Judge Steve Patrick,Side Judge Mike Weatherford,Field Judge Jeff Lamberth
20201108,Detroit Lions,20,Minnesota Vikings,34,Minnesota Vikings -3.0,51.5 (over),Referee Clete Blakeman,Umpire Ramon George,Down Judge Mark Hittner,Line Judge Tom Stephan,Back Judge Scott Helverson,Side Judge Michael Banks,Field Judge Joe Blubaugh
20201108,Chicago Bears,17,Tennessee Titans,24,Tennessee Titans -6.5,46.5 (under),Referee Ronald Torbert,Umpire Mark Pellis,Down Judge Patrick Holt,Line Judge Jim Mello,Back Judge Greg Yette,Side Judge Jonah Monroe,Field Judge James Coleman
20201108,New York Giants,23,Washington Football Team,20,Washington Football Team -3.0,43.5 (under),Referee Shawn Hochuli,Umpire Richard Hall,Down Judge Sarah Thomas,Line Judge Carl Johnson,Back Judge Rich Martinez,Side Judge Chad Hill,Field Judge Tom Hill
20201108,Las Vegas Raiders,31,Los Angeles Chargers,26,Las Vegas Raiders -1.0,52.5 (over),Referee Brad Rogers,Umpire Tab Slaughter,Down Judge Jerod Phillips,Line Judge Walt Coleman IV,Back Judge Greg Meyer,Side Judge John Jenkins,Field Judge Nathan Jones
20201108,Miami Dolphins,34,Arizona Cardinals,31,Arizona Cardinals -6.0,49.0 (over),Referee Carl Cheffers,Umpire Fred Bryan,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Greg Wilson,Side Judge Clay Reynard,Field Judge Gary Cavaletto
20201108,Pittsburgh Steelers,24,Dallas Cowboys,19,Pittsburgh Steelers -14.0,44.0 (under),Referee Tony Corrente,Umpire Dan Ferrell,Down Judge Mark Perlman,Line Judge Bart Longson,Back Judge Todd Prukop,Side Judge Anthony Flemming,Field Judge Ryan Dickson
20201108,New Orleans Saints,38,Tampa Bay Buccaneers,3,Tampa Bay Buccaneers -3.0,51.0 (under),Referee John Hussey,Umpire Roy Ellison,Down Judge Brian Bolinger,Line Judge Rusty Baynes,Back Judge Grantis Bell,Side Judge Allen Baynes,Field Judge Steve Zimmer
20201109,New England Patriots,30,New York Jets,27,New England Patriots -9.0,42.0 (over),Referee Alex Kemp,Umpire Carl Paganelli,Down Judge Dana McKenzie,Line Judge Greg Bradley,Back Judge Matt Edwards,Side Judge Jabir Walker,Field Judge Terry Brown
