Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20220102,Atlanta Falcons,15,Buffalo Bills,29,Buffalo Bills -14.5,44.0 (push),Referee Land Clark,Umpire Paul King,Down Judge Tom Stephan,Line Judge Brian Bolinger,Back Judge Greg Meyer,Side Judge Anthony Flemming,Field Judge Michael Banks
20220102,New York Giants,3,Chicago Bears,29,Chicago Bears -6.5,36.5 (under),Referee Shawn Hochuli,Umpire Terry Killens,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge Chad Hill,Field Judge Tom Hill
20220102,Kansas City Chiefs,31,Cincinnati Bengals,34,Kansas City Chiefs -4.0,51.5 (over),Referee John Hussey,Umpire Alan Eck,Down Judge Sarah Thomas,Line Judge Carl Johnson,Back Judge Brad Freeman,Side Judge Allen Baynes,Field Judge Jabir Walker
20220102,Las Vegas Raiders,23,Indianapolis Colts,20,Indianapolis Colts -8.0,45.0 (under),Referee Brad Rogers,Umpire Carl Paganelli,Down Judge Kent Payne,Line Judge Tom Eaton,Back Judge Greg Steed,Side Judge Dominique Pender,Field Judge Aaron Santi
20220102,Arizona Cardinals,25,Dallas Cowboys,22,Dallas Cowboys -6.5,52.5 (under),Referee Scott Novak,Umpire Ramon George,Down Judge Derick Bowers,Line Judge Walt Coleman,Back Judge Terrence Miles,Side Judge David Meslow,Field Judge Mike Weatherford
20220102,Carolina Panthers,10,New Orleans Saints,18,New Orleans Saints -6.5,37.5 (under),Referee Jerome Boger,Umpire Barry Anderson,Down Judge Frank LeBlanc,Line Judge Rusty Baynes,Back Judge Steve Patrick,Side Judge Jonah Monroe,Field Judge Steve Zimmer
20220102,Jacksonville Jaguars,10,New England Patriots,50,New England Patriots -16.5,41.5 (over),Referee Adrian Hill,Umpire Roy Ellison,Down Judge David Oliver,Line Judge Mark Stewart,Back Judge Keith Ferguson,Side Judge Jim Quirk,Field Judge Mearl Robinson
20220102,Tampa Bay Buccaneers,28,New York Jets,24,Tampa Bay Buccaneers -13.5,45.5 (over),Referee Alex Kemp,Umpire Rich Hall,Down Judge Mike Carr,Line Judge Jeff Bergman,Back Judge Scott Helverson,Side Judge Dale Shaw,Field Judge John Jenkins
20220102,Miami Dolphins,3,Tennessee Titans,34,Tennessee Titans -3.0,40.0 (under),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Michael Dolce,Back Judge Dino Paganelli,Side Judge Dave Hawkshaw,Field Judge Dyrol Prioleau
20220102,Philadelphia Eagles,20,Washington Football Team,16,Philadelphia Eagles -4.5,44.5 (under),Referee Clete Blakeman,Umpire Tab Slaughter,Down Judge Dana McKenzie,Line Judge Julian Mapp,Back Judge Perry Paganelli,Side Judge Clay Reynard,Field Judge Scott Edwards
20220102,Denver Broncos,13,Los Angeles Chargers,34,Los Angeles Chargers -7.5,45.0 (over),Referee Craig Wrolstad,Umpire Steve Woods,Down Judge Jim Mello,Line Judge Tripp Sutter,Back Judge Grantis Bell,Side Judge Jeff Lamberth,Field Judge Terry Brown
20220102,Houston Texans,7,San Francisco 49ers,23,San Francisco 49ers -12.5,43.5 (under),Referee Carl Cheffers,Umpire Tra Blake,Down Judge Jerry Bergman,Line Judge Jeff Seeman,Back Judge Matt Edwards,Side Judge Eugene Hall,Field Judge Nathan Jones
20220102,Los Angeles Rams,20,Baltimore Ravens,19,Los Angeles Rams -6.0,46.5 (under),Referee Bill Vinovich,Umpire Tony Michalek,Down Judge Patrick Holt,Line Judge Mark Perlman,Back Judge Jimmy Russell,Side Judge Jimmy Buchanan,Field Judge Joe Blubaugh
20220102,Detroit Lions,29,Seattle Seahawks,51,Seattle Seahawks -7.0,41.5 (over),Referee Tony Corrente,Umpire Dan Ferrell,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Joe Larrew,Field Judge Anthony Jefferies
20220102,Minnesota Vikings,10,Green Bay Packers,37,Green Bay Packers -13.0,42.5 (over),Referee Clay Martin,Umpire Fred Bryan,Down Judge Jerod Phillips,Line Judge Maia Chaka,Back Judge Greg Wilson,Side Judge Don Willard,Field Judge James Coleman
20220103,Cleveland Browns,14,Pittsburgh Steelers,26,Pittsburgh Steelers -2.0,42.0 (under),Referee Brad Allen,Umpire Bruce Stritesky,Down Judge Danny Short,Line Judge Daniel Gallagher,Back Judge Greg Yette,Side Judge Boris Cheek,Field Judge Rick Patterson
