Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20190926,Philadelphia Eagles,34,Green Bay Packers,27,Green Bay Packers -3.5,46.0 (over),Referee Clay Martin,Umpire Fred Bryan,Down Judge Jerod Phillips,Line Judge Gary Arthur,Back Judge Gregory Wilson,Side Judge Greg Gautreaux,Field Judge Nathan Jones
20190929,Tennessee Titans,24,Atlanta Falcons,10,Atlanta Falcons -3.5,46.0 (under),Referee John Hussey,Umpire Alan Eck,Down Judge Kevin Codey,Line Judge Carl Johnson,Back Judge Brad Freeman,Side Judge Jabir Walker,Field Judge Allen Baynes
20190929,New England Patriots,16,Buffalo Bills,10,New England Patriots -7.0,41.5 (under),Referee Craig Wrolstad,Umpire Steven Woods,Down Judge Patrick Turner,Line Judge Tripp Sutter,Back Judge Scott Helverson,Side Judge Jeff Lamberth,Field Judge Keith Washington
20190929,Oakland Raiders,31,Indianapolis Colts,24,Indianapolis Colts -5.5,46.0 (over),Referee Scott Novak,Umpire Ramon George,Down Judge Derick Bowers,Line Judge Walt Coleman IV,Back Judge Terrence Miles,Side Judge Chad Hill,Field Judge Mike Weatherford
20190929,Kansas City Chiefs,34,Detroit Lions,30,Kansas City Chiefs -7.5,54.5 (over),Referee Walt Anderson,Umpire Ruben Fowler,Down Judge Tom Stephan,Line Judge Byron Boston,Back Judge Keith Ferguson,Side Judge Rick Patterson,Field Judge Lee Dyer
20190929,Carolina Panthers,16,Houston Texans,10,Houston Texans -5.5,47.5 (under),Referee Adrian Hill,Umpire Roy Ellison,Down Judge David Oliver,Line Judge Mark Stewart,Back Judge Greg Meyer,Side Judge Jim Quirk,Field Judge Land Clark
20190929,Los Angeles Chargers,30,Miami Dolphins,10,Los Angeles Chargers -15.0,43.5 (under),Referee Tony Corrente,Umpire Bill Schuster,Down Judge Dana McKenzie,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Boris Cheek,Field Judge Anthony Jeffries
20190929,Washington Redskins,3,New York Giants,24,New York Giants -3.0,48.0 (under),Referee Alex Kemp,Umpire Richard Hall,Down Judge Michael Spanier,Line Judge Jeff Bergman,Back Judge Steve Freeman,Side Judge Dale Shaw,Field Judge John Jenkins
20190929,Cleveland Browns,40,Baltimore Ravens,25,Baltimore Ravens -7.5,47.0 (over),Referee Shawn Hochuli,Umpire Dan Ferrrell,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge James Coleman,Field Judge Tom Hill
20190929,Seattle Seahawks,27,Arizona Cardinals,10,Seattle Seahawks -5.5,49.0 (under),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Bart Longson,Back Judge Dino Paganelli,Side Judge Dave Hawkshaw,Field Judge Dyrol Prioleau
20190929,Tampa Bay Buccaneers,55,Los Angeles Rams,40,Los Angeles Rams -9.0,48.5 (over),Referee Bradley Rogers,Umpire Tony Michalek,Down Judge Kent Payne,Line Judge Julian Mapp,Back Judge Gregory Steed,Side Judge Don Willard,Field Judge Aaron Santi
20190929,Minnesota Vikings,6,Chicago Bears,16,Minnesota Vikings -1.0,38.0 (under),Referee Brad Allen,Umpire Barry Anderson,Down Judge Jim Mello,Line Judge Brian Bolinger,Back Judge Greg Yette,Side Judge Jimmy Russell,Field Judge Steve Zimmer
20190929,Jacksonville Jaguars,26,Denver Broncos,24,Denver Broncos -2.5,37.0 (over),Referee Ronald Torbert,Umpire Terry Killens,Down Judge Sarah Thomas,Line Judge Mark Steinkerchner,Back Judge Anthony Josselyn,Side Judge Scott Edwards,Field Judge Ryan Dickson
20190929,Dallas Cowboys,10,New Orleans Saints,12,Dallas Cowboys -2.5,47.0 (under),Referee Carl Cheffers,Umpire Mark Pellis,Down Judge Danny Short,Line Judge Jeff Seeman,Back Judge Matthew Edwards,Side Judge Eugene Hall,Field Judge Michael Banks
20190930,Cincinnati Bengals,3,Pittsburgh Steelers,27,Pittsburgh Steelers -3.5,45.5 (under),Referee Bill Vinovich,Umpire Bruce Stritesky,Down Judge Phil McKinnely,Line Judge Mark Perlman,Back Judge Steve Patrick,Side Judge Gary Cavaletto,Field Judge Mearl Robinson
