Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20211202,Dallas Cowboys,27,New Orleans Saints,17,Dallas Cowboys -5.0,47.5 (under),Referee Brad Rogers,Umpire Carl Paganelli,Down Judge Kent Payne,Line Judge Tom Eaton,Back Judge Greg Steed,Side Judge Dominique Pender,Field Judge Aaron Santi
20211205,Tampa Bay Buccaneers,30,Atlanta Falcons,17,Tampa Bay Buccaneers -10.5,50.5 (under),Referee Tony Corrente,Umpire Dan Ferrell,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Don Willard,Field Judge Anthony Jefferies
20211205,Arizona Cardinals,33,Chicago Bears,22,Arizona Cardinals -7.5,42.0 (over),Referee Jerome Boger,Umpire Barry Anderson,Down Judge Frank LeBlanc,Line Judge Rusty Baynes,Back Judge Steve Patrick,Side Judge Jonah Monroe,Field Judge Steve Zimmer
20211205,Los Angeles Chargers,41,Cincinnati Bengals,22,Cincinnati Bengals -3.0,49.5 (over),Referee Shawn Hochuli,Umpire Terry Killens,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge Chad Hill,Field Judge Tom Hill
20211205,Minnesota Vikings,27,Detroit Lions,29,Minnesota Vikings -7.0,46.5 (over),Referee Craig Wrolstad,Umpire Steve Woods,Down Judge Jim Mello,Line Judge Tripp Sutter,Back Judge Grantis Bell,Side Judge Jeff Lamberth,Field Judge Terry Brown
20211205,Indianapolis Colts,31,Houston Texans,0,Indianapolis Colts -10.0,44.5 (under),Referee Ron Torbert,Umpire Mark Pellis,Down Judge Kevin Codey,Line Judge Mark Steinkerchner,Back Judge Tony Josselyn,Side Judge Keith Washington,Field Judge Ryan Dickson
20211205,New York Giants,9,Miami Dolphins,20,Miami Dolphins -6.5,39.5 (under)
20211205,Philadelphia Eagles,33,New York Jets,18,Philadelphia Eagles -5.0,43.5 (over),Referee Clay Martin,Umpire Fred Bryan,Down Judge Jerod Phillips,Line Judge Maia Chaka,Back Judge Greg Wilson,Side Judge Joe Larrew,Field Judge James Coleman
20211205,San Francisco 49ers,23,Seattle Seahawks,30,San Francisco 49ers -3.5,45.5 (over),Referee Alex Kemp,Umpire Rich Hall,Down Judge Mike Carr,Line Judge Jeff Bergman,Back Judge Scott Helverson,Side Judge Dale Shaw,Field Judge John Jenkins
20211205,Washington Football Team,17,Las Vegas Raiders,15,Las Vegas Raiders -1.5,48.0 (under),Referee Adrian Hill,Umpire Roy Ellison,Down Judge David Oliver,Line Judge Mark Stewart,Back Judge Keith Ferguson,Side Judge Jim Quirk,Field Judge Greg Gautreaux
20211205,Baltimore Ravens,19,Pittsburgh Steelers,20,Baltimore Ravens -4.5,44.0 (under),Referee Scott Novak,Umpire Ramon George,Down Judge Derick Bowers,Line Judge Walt Coleman,Back Judge Terrence Miles,Side Judge David Meslow,Field Judge Mike Weatherford
20211205,Jacksonville Jaguars,7,Los Angeles Rams,37,Los Angeles Rams -13.0,48.0 (under),Referee Clete Blakeman,Umpire Tab Slaughter,Down Judge Dana McKenzie,Line Judge Julian Mapp,Back Judge Perry Paganelli,Side Judge Clay Reynard,Field Judge Scott Edwards
20211205,Denver Broncos,9,Kansas City Chiefs,22,Kansas City Chiefs -9.5,47.0 (under),Referee Carl Cheffers,Umpire Tra Blake,Down Judge Jerry Bergman,Line Judge Jeff Seeman,Back Judge Matt Edwards,Side Judge Gary Cavaletto,Field Judge Michael Banks
20211206,New England Patriots,14,Buffalo Bills,10,Buffalo Bills -4.0,44.0 (under),Referee Bill Vinovich,Umpire Tony Michalek,Down Judge Patrick Holt,Line Judge Mark Perlman,Back Judge Jimmy Russell,Side Judge Jimmy Buchanan,Field Judge Joe Blubaugh
