Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20201008,Tampa Bay Buccaneers,19,Chicago Bears,20,Tampa Bay Buccaneers -3.5,44.0 (under),Referee Alex Kemp,Umpire Carl Paganelli,Down Judge Jerod Phillips,Line Judge Greg Bradley,Back Judge Matt Edwards,Side Judge Jabir Walker,Field Judge Terry Brown
20201011,Carolina Panthers,23,Atlanta Falcons,16,Atlanta Falcons -2.5,53.5 (under),Referee Brad Allen,Umpire  Jr. Terry Killens,Down Judge Danny Short,Line Judge  Daniel Gallagher,Back Judge Jimmy Russell,Side Judge Boris Cheek,Field Judge Rick Patterson
20201011,Jacksonville Jaguars,14,Houston Texans,30,Houston Texans -6.5,55.0 (under),Referee Bill Vinovich,Umpire Roy Ellison,Down Judge Jerry Bergman,Line Judge Tom Symonette,Back Judge Grantis Bell,Side Judge Allen Baynes,Field Judge Steve Zimmer
20201011,Las Vegas Raiders,40,Kansas City Chiefs,32,Kansas City Chiefs -11.0,54.5 (over),Referee Clete Blakeman,Umpire Fred Bryan,Down Judge Mark Hittner,Line Judge Tom Stephan,Back Judge Keith Ferguson,Side Judge Michael Banks,Field Judge Joe Blubaugh
20201011,Arizona Cardinals,30,New York Jets,10,Arizona Cardinals -7.0,48.5 (under),Referee Adrian Hill,Umpire Paul King,Down Judge Ed Camp,Line Judge Kevin Codey,Back Judge Greg Steed,Side Judge Keith Washington,Field Judge Jim Quirk
20201011,Philadelphia Eagles,29,Pittsburgh Steelers,38,Pittsburgh Steelers -7.5,44.0 (over),Referee Ronald Torbert,Umpire Mark Pellis,Down Judge Patrick Holt,Line Judge Jim Mello,Back Judge Greg Yette,Side Judge Jonah Monroe,Field Judge James Coleman
20201011,Cincinnati Bengals,3,Baltimore Ravens,27,Baltimore Ravens -12.5,49.0 (under),Referee Jerome Boger,Umpire Barry Anderson,Down Judge Tripp Sutter,Line Judge Rusty Baynes,Back Judge Brad Freeman,Side Judge Scott Edwards,Field Judge Tra Blake
20201011,Los Angeles Rams,30,Washington Football Team,10,Los Angeles Rams -7.0,45.0 (under),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Michael Dolce,Line Judge Mark Steinkerchner,Back Judge Dino Paganelli,Side Judge Anthony Jeffries,Field Judge Dyrol Prioleau
20201011,Miami Dolphins,43,San Francisco 49ers,17,San Francisco 49ers -8.5,50.5 (over),Referee Land Clark,Umpire Richard Hall,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Dominique Pender,Field Judge Gary Cavaletto
20201011,Indianapolis Colts,23,Cleveland Browns,32,Cleveland Browns -1.0,48.5 (over),Referee Scott Novak,Umpire Bruce Stritesky,Down Judge Kent Payne,Line Judge Thomas Eaton,Back Judge Terrence Miles,Side Judge John Jenkins,Field Judge Mearl Robinson
20201011,New York Giants,34,Dallas Cowboys,37,Dallas Cowboys -7.5,52.0 (over),Referee Craig Wrolstad,Umpire Ramon George,Down Judge Sarah Thomas,Line Judge Carl Johnson,Back Judge Tony Josselyn,Side Judge Jimmy Buchanan,Field Judge Nathan Jones
20201011,Minnesota Vikings,26,Seattle Seahawks,27,Seattle Seahawks -6.5,54.0 (under),Referee Tony Corrente,Umpire Steven Woods,Down Judge Mark Perlman,Line Judge Bart Longson,Back Judge Greg Wilson,Side Judge Dave Hawkshaw,Field Judge Aaron Santi
20201012,Los Angeles Chargers,27,New Orleans Saints,30,New Orleans Saints -7.0,49.5 (over),Referee Clay Martin,Umpire Ruben Fowler,Down Judge Derick Bowers,Line Judge Frank LeBlanc,Back Judge Steve Patrick,Side Judge Jeff Lamberth,Field Judge Mike Weatherford
20201013,Buffalo Bills,16,Tennessee Titans,42,Buffalo Bills -3.0,52.0 (over),Referee Carl Cheffers,Umpire Tab Slaughter,Down Judge Dana McKenzie,Line Judge Walt Coleman IV,Back Judge Perry Paganelli,Side Judge Eugene Hall,Field Judge Dale Shaw
