Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20181213,Los Angeles Chargers,29,Kansas City Chiefs,28,Kansas City Chiefs -3.5,54.0 (over),Officials,Referee Walt Anderson,Umpire Carl Paganelli,Down Judge Tom Stephan,Line Judge Byron Boston,Back Judge Lee Dyer,Side Judge Rick Patterson,Field Judge Terry Brown
20181215,Houston Texans,29,New York Jets,22,Houston Texans -7.0,44.0 (over),Referee Brad Allen,Umpire Ruben Fowler,Down Judge Jim Mello,Line Judge Brian Bolinger,Back Judge Terrence Miles,Side Judge Matt Edwards,Field Judge Scott Novak
20181215,Cleveland Browns,17,Denver Broncos,16,Denver Broncos -1.0,47.0 (under),Referee Clay Martin,Umpire Fred Bryan,Down Judge Danny Short,Line Judge Kent Payne,Back Judge Gregory Wilson,Side Judge Brad Freeman,Field Judge Mike Weatherford
20181216,Arizona Cardinals,14,Atlanta Falcons,40,Atlanta Falcons -10.0,43.5 (over),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Bart Longson,Back Judge Dino Paganelli,Side Judge James Coleman,Field Judge David Meslow
20181216,Detroit Lions,13,Buffalo Bills,14,Buffalo Bills -2.5,40.0 (under),Referee Jerome Boger,Umpire Bill Schuster,Down Judge Mike Carr,Line Judge Rusty Baynes,Back Judge Tony Steratore,Side Judge Boris Cheek,Field Judge Dale Shaw
20181216,Green Bay Packers,17,Chicago Bears,24,Chicago Bears -5.5,46.5 (under),Referee John Hussey,Umpire Tony Michalek,Down Judge Kevin Codey,Line Judge Derick Bowers,Back Judge Greg Steed,Side Judge Allen Baynes,Field Judge Don Willard
20181216,Oakland Raiders,16,Cincinnati Bengals,30,Cincinnati Bengals -3.0,46.0 (push),Referee Alex Kemp,Umpire Richard Hall,Down Judge Tom Symonette,Line Judge Jeff Bergman,Back Judge Steve Freeman,Side Judge John Jenkins,Field Judge Chad Hill
20181216,Dallas Cowboys,0,Indianapolis Colts,23,Indianapolis Colts -3.0,46.5 (under),Referee Carl Cheffers,Umpire Barry Anderson,Down Judge Mike Spanier,Line Judge Gary Arthur,Back Judge Greg Meyer,Side Judge Eugene Hall,Field Judge Brad Rogers
20181216,Washington Redskins,16,Jacksonville Jaguars,13,Jacksonville Jaguars -7.5,36.5 (under),Referee Clete Blakeman,Umpire Ramon George,Down Judge Dana McKenzie,Line Judge Walt Coleman IV,Back Judge Jim Quirk,Side Judge Dyrol Prioleau,Field Judge Joe Larrew
20181216,Miami Dolphins,17,Minnesota Vikings,41,Minnesota Vikings -7.5,45.0 (over),Referee Walt Coleman,Umpire Jeff Rice,Down Judge Jerry Bergman,Line Judge Mark Stewart,Back Judge Greg Yette,Side Judge Jabir Walker,Field Judge Greg Gautreaux
20181216,Tennessee Titans,17,New York Giants,0,Tennessee Titans -2.5,42.0 (under),Referee Shawn Hochuli,Umpire Roy Ellison,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge Ryan Dickson,Field Judge Tom Hill
20181216,Tampa Bay Buccaneers,12,Baltimore Ravens,20,Baltimore Ravens -8.5,45.0 (under),Referee Ron Torbert,Umpire Dan Ferrell,Down Judge Sarah Thomas,Line Judge Mark Steinkerchner,Back Judge Anthony Josselyn,Side Judge Scott Edwards,Field Judge Jimmy Buchanan
20181216,Seattle Seahawks,23,San Francisco 49ers,26,Seattle Seahawks -3.5,44.0 (over),Referee Peter Morelli,Umpire Steven Woods,Down Judge Steve Stelljes,Line Judge Jeff Seeman,Back Judge Keith Ferguson,Side Judge Jonah Monroe,Field Judge Anthony Jeffries
20181216,New England Patriots,10,Pittsburgh Steelers,17,New England Patriots -2.5,56.0 (under),Referee John Parry,Umpire Mark Pellis,Down Judge David Oliver,Line Judge Julian Mapp,Back Judge Perry Paganelli,Side Judge Michael Banks,Field Judge Steve Zimmer
20181216,Philadelphia Eagles,30,Los Angeles Rams,23,Los Angeles Rams -13.5,52.5 (over),Referee Bill Vinovich,Umpire Bruce Stritesky,Down Judge Phil McKinnely,Line Judge Mark Perlman,Back Judge Steven Patrick,Side Judge Gary Cavaletto,Field Judge Mearl Robinson
20181217,New Orleans Saints,12,Carolina Panthers,9,New Orleans Saints -6.0,50.5 (under),Referee Tony Corrente,Umpire Alan Eck,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Aaron Santi,Field Judge Keith Washington
