Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20210116,Los Angeles Rams,18,Green Bay Packers,32,Green Bay Packers -7.0,45.0 (over),Referee Ronald Torbert,Umpire Mark Pellis,Down Judge Tripp Sutter,Line Judge Rusty Baynes,Back Judge Greg Yette,Side Judge Jonah Monroe,Field Judge James Coleman
20210116,Baltimore Ravens,3,Buffalo Bills,17,Buffalo Bills -2.5,49.5 (under),Referee Carl Cheffers,Umpire Fred Bryan,Down Judge Ed Camp,Line Judge David Oliver,Back Judge Greg Meyer,Side Judge John Jenkins,Field Judge Ryan Dickson
20210117,Cleveland Browns,17,Kansas City Chiefs,22,Kansas City Chiefs -7.5,55.5 (under),Referee Clay Martin,Umpire Roy Ellison,Down Judge Jerod Phillips,Line Judge Mark Steinkerchner,Back Judge Greg Steed,Side Judge Allen Baynes,Field Judge David Meslow
20210117,Tampa Bay Buccaneers,30,New Orleans Saints,20,New Orleans Saints -2.5,53.0 (under),Referee Shawn Hochuli,Umpire Terry Killens,Down Judge Sarah Thomas,Line Judge Tom Stephan,Back Judge Dino Paganelli,Side Judge Eugene Hall,Field Judge Aaron Santi
