Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20200104,Buffalo Bills,19,Houston Texans,22,Houston Texans -2.5,43.0 (under),Referee Tony Corrente,Umpire Bruce Stritesky,Down Judge Jerod Phillips,Line Judge Walt Coleman IV,Back Judge Terrence Miles,Side Judge Jimmy Buchanan,Field Judge Mike Weatherford
20200104,Tennessee Titans,20,New England Patriots,13,New England Patriots -4.5,45.0 (under),Referee John Hussey,Umpire Roy Ellison,Down Judge Tom Stephan,Line Judge Rusty Baynes,Back Judge Rich Martinez,Side Judge Scott Edwards,Field Judge Tom Hill
20200105,Minnesota Vikings,26,New Orleans Saints,20,New Orleans Saints -7.5,50.0 (under),Referee Carl Cheffers,Umpire Richard Hall,Down Judge Jim Mello,Line Judge Byron Boston,Back Judge Gregory Wilson,Side Judge Jim Quirk,Field Judge Allen Baynes
20200105,Seattle Seahawks,17,Philadelphia Eagles,9,Philadelphia Eagles -1.0,44.0 (under),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Derick Bowers,Line Judge Tim Podraza,Back Judge Tony Steratore,Side Judge Jeff Lamberth,Field Judge Keith Washington
