Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20180913,Baltimore Ravens,23,Cincinnati Bengals,34,Cincinnati Bengals -1.0,43.0 (over),Officials,Referee Walt Anderson,Umpire Carl Paganelli,Down Judge Tom Stephan,Line Judge Byron Boston,Back Judge Lee Dyer,Side Judge Rick Patterson,Field Judge Terry Brown
20180916,Carolina Panthers,24,Atlanta Falcons,31,Atlanta Falcons -5.5,44.0 (over),Referee Bill Vinovich,Umpire Bruce Stritesky,Down Judge Mike Spanier,Line Judge Mark Perlman,Back Judge Steven Patrick,Side Judge Gary Cavaletto,Field Judge Mearl Robinson
20180916,Los Angeles Chargers,31,Buffalo Bills,20,Los Angeles Chargers -7.5,41.5 (over),Referee Clay Martin,Umpire Fred Bryan,Down Judge Danny Short,Line Judge Kent Payne,Back Judge Gregory Wilson,Side Judge Brad Freeman,Field Judge David Meslow
20180916,Minnesota Vikings,29,Green Bay Packers,29,Minnesota Vikings -2.0,45.0 (over),Referee Tony Corrente,Umpire Alan Eck,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Scott Novak,Field Judge Keith Washington
20180916,Cleveland Browns,18,New Orleans Saints,21,New Orleans Saints -10.0,51.0 (under),Referee Ron Torbert,Umpire Dan Ferrell,Down Judge Sarah Thomas,Line Judge Mark Steinkerchner,Back Judge Anthony Josselyn,Side Judge Scott Edwards,Field Judge Jimmy Buchanan
20180916,Miami Dolphins,20,New York Jets,12,New York Jets -3.0,43.0 (under),Referee Brad Allen,Umpire Ruben Fowler,Down Judge Jim Mello,Line Judge Brian Bolinger,Back Judge Terrence Miles,Side Judge Mike Weatherford,Field Judge Steve Zimmer
20180916,Houston Texans,17,Tennessee Titans,20,Houston Texans -3.5,41.0 (under),Referee Peter Morelli,Umpire Steven Woods,Down Judge Steve Stelljes,Line Judge Jeff Seeman,Back Judge Keith Ferguson,Side Judge Boris Cheek,Field Judge Anthony Jeffries
20180916,Kansas City Chiefs,42,Pittsburgh Steelers,37,Pittsburgh Steelers -4.5,52.0 (over),Referee Jerome Boger,Umpire Bill Schuster,Down Judge Mike Carr,Line Judge Rusty Baynes,Back Judge Tony Steratore,Side Judge Jonah Monroe,Field Judge Dale Shaw
20180916,Philadelphia Eagles,21,Tampa Bay Buccaneers,27,Philadelphia Eagles -3.0,46.5 (over),Referee Alex Kemp,Umpire Richard Hall,Down Judge Tom Symonette,Line Judge Jeff Bergman,Back Judge Steve Freeman,Side Judge Aaron Santi,Field Judge John Jenkins
20180916,Indianapolis Colts,21,Washington Redskins,9,Washington Redskins -6.0,48.0 (under),Referee Clete Blakeman,Umpire Ramon George,Down Judge Dana McKenzie,Line Judge Walt Coleman IV,Back Judge Jim Quirk,Side Judge Dyrol Prioleau,Field Judge Joe Larrew
20180916,Arizona Cardinals,0,Los Angeles Rams,34,Los Angeles Rams -13.5,43.5 (under),Referee Craig Wrolstad,Umpire Paul King,Down Judge Jerod Phillips,Line Judge Carl Johnson,Back Judge Scott Helverson,Side Judge Adrian Hill,Field Judge Jeff Lamberth
20180916,Detroit Lions,27,San Francisco 49ers,30,San Francisco 49ers -6.0,48.5 (over),Referee Shawn Hochuli,Umpire Roy Ellison,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge Tom Hill,Field Judge Chad Hill
20180916,Oakland Raiders,19,Denver Broncos,20,Denver Broncos -5.5,44.0 (under),Referee John Hussey,Umpire Tony Michalek,Down Judge Hugo Cruz,Line Judge Derick Bowers,Back Judge Greg Steed,Side Judge Allen Baynes,Field Judge Don Willard
20180916,New England Patriots,20,Jacksonville Jaguars,31,New England Patriots -2.0,44.5 (over),Referee Carl Cheffers,Umpire Barry Anderson,Down Judge Kevin Codey,Line Judge Gary Arthur,Back Judge Greg Meyer,Side Judge Eugene Hall,Field Judge Land Clark
20180916,New York Giants,13,Dallas Cowboys,20,Dallas Cowboys -3.0,42.0 (under),Referee John Parry,Umpire Mark Pellis,Down Judge David Oliver,Line Judge Julian Mapp,Back Judge Perry Paganelli,Side Judge Michael Banks,Field Judge Matt Edwards
20180917,Seattle Seahawks,17,Chicago Bears,24,Chicago Bears -4.5,42.5 (under),Referee Walt Coleman,Umpire Jeff Rice,Down Judge Jerry Bergman,Line Judge Mark Stewart,Back Judge Greg Yette,Side Judge Jabir Walker,Field Judge Greg Gautreaux
