Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20191107,Los Angeles Chargers,24,Oakland Raiders,26,Los Angeles Chargers -1.0,49.0 (over),Referee Walt Anderson,Umpire Ruben Fowler,Down Judge Michael Spanier,Line Judge Byron Boston,Back Judge Keith Ferguson,Side Judge Rick Patterson,Field Judge Lee Dyer
20191110,Detroit Lions,13,Chicago Bears,20,Chicago Bears -6.0,38.0 (under),Referee Carl Cheffers,Umpire Mark Pellis,Down Judge Danny Short,Line Judge Jeff Seeman,Back Judge Matthew Edwards,Side Judge Eugene Hall,Field Judge Michael Banks
20191110,Baltimore Ravens,49,Cincinnati Bengals,13,Baltimore Ravens -10.5,44.0 (over),Referee Scott Novak,Umpire Ramon George,Down Judge Derick Bowers,Line Judge Walt Coleman IV,Back Judge Terrence Miles,Side Judge Chad Hill,Field Judge Mike Weatherford
20191110,Buffalo Bills,16,Cleveland Browns,19,Cleveland Browns -3.0,42.0 (under),Referee Ronald Torbert,Umpire Terry Killens,Down Judge Sarah Thomas,Line Judge Mark Steinkerchner,Back Judge Anthony Josselyn,Side Judge Scott Edwards,Field Judge Ryan Dickson
20191110,Atlanta Falcons,26,New Orleans Saints,9,New Orleans Saints -14.0,51.5 (under),Referee Brad Allen,Umpire Barry Anderson,Down Judge Jim Mello,Line Judge Brian Bolinger,Back Judge Greg Yette,Side Judge Jimmy Russell,Field Judge Steve Zimmer
20191110,New York Giants,27,New York Jets,34,New York Giants -3.0,43.0 (over),Referee John Hussey,Umpire Dan Ferrell,Down Judge Kevin Codey,Line Judge Carl Johnson,Back Judge Brad Freeman,Side Judge Jabir Walker,Field Judge Allen Baynes
20191110,Kansas City Chiefs,32,Tennessee Titans,35,Kansas City Chiefs -5.0,49.0 (over),Referee Tony Corrente,Umpire Bill Schuster,Down Judge Dana McKenzie,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Boris Cheek,Field Judge Keith Washington
20191110,Arizona Cardinals,27,Tampa Bay Buccaneers,30,Tampa Bay Buccaneers -5.5,51.0 (over),Referee Craig Wrolstad,Umpire Steven Woods,Down Judge Patrick Turner,Line Judge Tripp Sutter,Back Judge Scott Helverson,Side Judge Jeff Lamberth,Field Judge Terry Brown
20191110,Miami Dolphins,16,Indianapolis Colts,12,Indianapolis Colts -11.0,44.5 (under),Referee Clay Martin,Umpire Fred Bryan,Down Judge Jerod Phillips,Line Judge Gary Arthur,Back Judge Gregory Wilson,Side Judge Greg Gautreaux,Field Judge Nathan Jones
20191110,Carolina Panthers,16,Green Bay Packers,24,Green Bay Packers -5.0,49.0 (under),Referee Jerome Boger,Umpire Carl Paganelli,Down Judge Patrick Holt,Line Judge Rusty Baynes,Back Judge Tony Steratore,Side Judge Jonah Monroe,Field Judge David Meslow
20191110,Los Angeles Rams,12,Pittsburgh Steelers,17,Los Angeles Rams -4.0,43.0 (under),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Bart Longson,Back Judge Dino Paganelli,Side Judge Dave Hawkshaw,Field Judge Dyrol Prioleau
20191110,Minnesota Vikings,28,Dallas Cowboys,24,Dallas Cowboys -3.5,48.5 (over),Referee Shawn Hochuli,Umpire Paul King,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge James Coleman,Field Judge Tom Hill
20191111,Seattle Seahawks,27,San Francisco 49ers,24,San Francisco 49ers -6.5,47.0 (over),Referee Alex Kemp,Umpire Richard Hall,Down Judge Mike Carr,Line Judge Jeff Bergman,Back Judge Steve Freeman,Side Judge Dale Shaw,Field Judge John Jenkins
