Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20181011,Philadelphia Eagles,34,New York Giants,13,Philadelphia Eagles -1.5,45.0 (over),Referee Ron Torbert,Umpire Dan Ferrell,Down Judge Sarah Thomas,Line Judge Mark Steinkerchner,Back Judge Anthony Josselyn,Side Judge Scott Edwards,Field Judge Jimmy Buchanan
20181014,Tampa Bay Buccaneers,29,Atlanta Falcons,34,Atlanta Falcons -3.0,57.0 (over),Referee Walt Coleman,Umpire Jeff Rice,Down Judge Jerry Bergman,Line Judge Mark Stewart,Back Judge Greg Yette,Side Judge Jabir Walker,Field Judge Greg Gautreaux
20181014,Pittsburgh Steelers,28,Cincinnati Bengals,21,Cincinnati Bengals -1.5,49.5 (under),Referee Clete Blakeman,Umpire George Ramon,Down Judge Dana McKenzie,Line Judge Walt Coleman IV,Back Judge Jim Quirk,Side Judge Dyrol Prioleau,Field Judge Joe Larrew
20181014,Los Angeles Chargers,38,Cleveland Browns,14,Cleveland Browns -1.0,47.0 (over),Referee Brad Allen,Umpire Ruben Fowler,Down Judge Hugo Cruz,Line Judge Brian Bolinger,Back Judge Terrence Miles,Side Judge Scott Novak,Field Judge Jeff Lamberth
20181014,Buffalo Bills,13,Houston Texans,20,Houston Texans -10.5,40.5 (under),Referee Craig Wrolstad,Umpire Paul King,Down Judge Jerod Phillips,Line Judge Carl Johnson,Back Judge Rich Martinez,Side Judge Adrian Hill,Field Judge Steve Zimmer
20181014,Chicago Bears,28,Miami Dolphins,31,Chicago Bears -7.5,40.5 (over),Referee Walt Anderson,Umpire Carl Paganelli,Down Judge Tom Stephan,Line Judge Byron Boston,Back Judge Lee Dyer,Side Judge Rick Patterson,Field Judge Terry Brown
20181014,Arizona Cardinals,17,Minnesota Vikings,27,Minnesota Vikings -10.0,43.5 (over),Referee Jerome Boger,Umpire Bill Schuster,Down Judge Mike Carr,Line Judge Rusty Baynes,Back Judge Tony Steratore,Side Judge Jonah Monroe,Field Judge Mike Weatherford
20181014,Indianapolis Colts,34,New York Jets,42,New York Jets -2.5,47.5 (over),Referee Alex Kemp,Umpire Richard Hall,Down Judge Tom Symonette,Line Judge Jeff Bergman,Back Judge Anthony Josselyn,Side Judge Aaron Santi,Field Judge John Jenkins
20181014,Seattle Seahawks,27,Oakland Raiders,3,Seattle Seahawks -3.0,48.0 (under),Referee Peter Morelli,Umpire Steven Woods,Down Judge Steve Stelljes,Line Judge Jeff Seeman,Back Judge Scott Helverson,Side Judge Anthony Jeffries,Field Judge Boris Cheek
20181014,Carolina Panthers,17,Washington Redskins,23,Carolina Panthers -1.0,44.5 (under),Referee Clay Martin,Umpire Fred Bryan,Down Judge Danny Short,Line Judge Kent Payne,Back Judge Gregory Wilson,Side Judge James Coleman,Field Judge David Meslow
20181014,Los Angeles Rams,23,Denver Broncos,20,Los Angeles Rams -7.0,50.0 (under),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Bart Longson,Back Judge Dino Paganelli,Side Judge Brad Freeman,Field Judge Brad Rogers
20181014,Jacksonville Jaguars,7,Dallas Cowboys,40,Jacksonville Jaguars -3.0,39.0 (over),Referee Tony Corrente,Umpire Alan Eck,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Ryan Dickson,Field Judge Keith Washington
20181014,Baltimore Ravens,21,Tennessee Titans,0,Baltimore Ravens -2.5,43.5 (under),Referee Carl Cheffers,Umpire Barry Anderson,Down Judge Jim Mello,Line Judge Gary Arthur,Back Judge Greg Meyer,Side Judge Eugene Hall,Field Judge Land Clark
20181014,Kansas City Chiefs,40,New England Patriots,43,New England Patriots -3.5,59.5 (over),Referee John Hussey,Umpire Tony Michalek,Down Judge Kevin Codey,Line Judge Derick Bowers,Back Judge Greg Steed,Side Judge Allen Baynes,Field Judge Don Willard
20181015,San Francisco 49ers,30,Green Bay Packers,33,Green Bay Packers -9.0,46.5 (over),Referee John Parry,Umpire Mark Pellis,Down Judge David Oliver,Line Judge Julian Mapp,Back Judge Perry Paganelli,Side Judge Michael Banks,Field Judge Matt Edwards
