Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20211104,New York Jets,30,Indianapolis Colts,45,Indianapolis Colts -10.5,46.0 (over),Referee John Hussey,Umpire Alan Eck,Down Judge Sarah Thomas,Line Judge Carl Johnson,Back Judge Brad Freeman,Side Judge Allen Baynes,Field Judge Jabir Walker
20211107,New England Patriots,24,Carolina Panthers,6,New England Patriots -3.5,41.0 (under),Referee Clete Blakeman,Umpire Tab Slaughter,Down Judge Dana McKenzie,Line Judge Julian Mapp,Back Judge Perry Paganelli,Side Judge Clay Reynard,Field Judge Scott Edwards
20211107,Cleveland Browns,41,Cincinnati Bengals,16,Cincinnati Bengals -2.5,47.5 (over),Referee Scott Novak,Umpire Ramon George,Down Judge Derick Bowers,Line Judge Walt Coleman,Back Judge Terrence Miles,Side Judge David Meslow,Field Judge Mike Weatherford
20211107,Denver Broncos,30,Dallas Cowboys,16,Dallas Cowboys -10.0,48.5 (under),Referee Bill Vinovich,Umpire Tony Michalek,Down Judge Patrick Holt,Line Judge Mark Perlman,Back Judge Jimmy Russell,Side Judge Jimmy Buchanan,Field Judge Joe Blubaugh
20211107,Buffalo Bills,6,Jacksonville Jaguars,9,Buffalo Bills -14.5,48.5 (under),Referee Land Clark,Umpire Paul King,Down Judge Tom Stephan,Line Judge Brian Bolinger,Back Judge Greg Meyer,Side Judge Anthony Flemming,Field Judge Michael Banks
20211107,Houston Texans,9,Miami Dolphins,17,Miami Dolphins -5.5,46.5 (under),Referee Adrian Hill,Umpire Roy Ellison,Down Judge David Oliver,Line Judge Mark Stewart,Back Judge Keith Ferguson,Side Judge Jim Quirk,Field Judge Mearl Robinson
20211107,Atlanta Falcons,27,New Orleans Saints,25,New Orleans Saints -6.0,41.5 (over),Referee Alex Kemp,Umpire Rich Hall,Down Judge Mike Carr,Line Judge Jeff Bergman,Back Judge Scott Helverson,Side Judge Dale Shaw,Field Judge John Jenkins
20211107,Las Vegas Raiders,16,New York Giants,23,Las Vegas Raiders -3.0,46.5 (under),Referee Clay Martin,Umpire Fred Bryan,Down Judge Jerod Phillips,Line Judge Maia Chaka,Back Judge Greg Wilson,Side Judge Joe Larrew,Field Judge James Coleman
20211107,Minnesota Vikings,31,Baltimore Ravens,34,Baltimore Ravens -6.0,50.5 (over),Referee Carl Cheffers,Umpire Tra Blake,Down Judge Jerry Bergman,Line Judge Jeff Seeman,Back Judge Matt Edwards,Side Judge Eugene Hall,Field Judge Nathan Jones
20211107,Los Angeles Chargers,27,Philadelphia Eagles,24,Los Angeles Chargers -1.5,49.0 (over),Referee Jerome Boger,Umpire Barry Anderson,Down Judge Frank LeBlanc,Line Judge Rusty Baynes,Back Judge Steve Patrick,Side Judge Jonah Monroe,Field Judge Steve Zimmer
20211107,Green Bay Packers,7,Kansas City Chiefs,13,Kansas City Chiefs -7.5,48.0 (under),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Michael Dolce,Back Judge Dino Paganelli,Side Judge Dave Hawkshaw,Field Judge Dyrol Prioleau
20211107,Arizona Cardinals,31,San Francisco 49ers,17,San Francisco 49ers -3.5,45.0 (over),Referee Brad Allen,Umpire Bruce Stritesky,Down Judge Danny Short,Line Judge Daniel Gallagher,Back Judge Greg Yette,Side Judge Boris Cheek,Field Judge Rick Patterson
20211107,Tennessee Titans,28,Los Angeles Rams,16,Los Angeles Rams -7.5,52.5 (under),Referee Brad Rogers,Umpire Carl Paganelli,Down Judge Kent Payne,Line Judge Tom Eaton,Back Judge Greg Steed,Side Judge Dominique Pender,Field Judge Aaron Santi
20211108,Chicago Bears,27,Pittsburgh Steelers,29,Pittsburgh Steelers -6.5,38.5 (over),Referee Tony Corrente,Umpire Dan Ferrell,Down Judge Patrick Turner,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Don Willard,Field Judge Anthony Jefferies
