Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20210109,Indianapolis Colts,24,Buffalo Bills,27,Buffalo Bills -7.0,50.5 (over),Officials,Referee Brad Allen,Umpire Paul King,Down Judge Mark Hittner,Line Judge Tim Podraza,Back Judge Tony Josselyn,Side Judge Anthony Jeffries,Field Judge Terry Brown
20210109,Los Angeles Rams,30,Seattle Seahawks,20,Seattle Seahawks -3.0,42.5 (over),Referee John Hussey,Umpire Tony Michalek,Down Judge Patrick Holt,Line Judge Jim Mello,Back Judge Rich Martinez,Side Judge Jabir Walker,Field Judge Steve Zimmer
20210109,Tampa Bay Buccaneers,31,Washington Football Team,23,Tampa Bay Buccaneers -10.0,45.0 (over),Referee Scott Novak,Umpire Bruce Stritesky,Down Judge Derick Bowers,Line Judge Bart Longson,Back Judge Terrence Miles,Side Judge Chad Hill,Field Judge Dale Shaw
20210110,Baltimore Ravens,20,Tennessee Titans,13,Baltimore Ravens -3.5,53.5 (under),Referee Jerome Boger,Umpire Carl Paganelli,Down Judge Brian Bolinger,Line Judge Walt Coleman IV,Back Judge Brad Freeman,Side Judge Keith Washington,Field Judge Mike Weatherford
20210110,Chicago Bears,9,New Orleans Saints,21,New Orleans Saints -11.0,48.0 (under),Referee Alex Kemp,Umpire Dan Ferrell,Down Judge Dana McKenzie,Line Judge Greg Bradley,Back Judge Scott Helverson,Side Judge Dave Hawkshaw,Field Judge Nathan Jones
20210110,Cleveland Browns,48,Pittsburgh Steelers,37,Pittsburgh Steelers -5.0,47.0 (over),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Kent Payne,Line Judge Mark Stewart,Back Judge Greg Wilson,Side Judge Don Willard,Field Judge Dyrol Prioleau
