Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20191003,Los Angeles Rams,29,Seattle Seahawks,30,Seattle Seahawks -1.5,49.0 (over),Referee Scott Novak,Umpire Ramon George,Down Judge Derick Bowers,Line Judge Walt Coleman IV,Back Judge Terrence Miles,Side Judge Chad Hill,Field Judge Mike Weatherford
20191006,Jacksonville Jaguars,27,Carolina Panthers,34,Carolina Panthers -3.0,41.0 (over),Referee Alex Kemp,Umpire Richard Hall,Down Judge Mike Carr,Line Judge Jeff Bergman,Back Judge Steve Freeman,Side Judge Dale Shaw,Field Judge John Jenkins
20191006,Arizona Cardinals,26,Cincinnati Bengals,23,Cincinnati Bengals -3.0,45.0 (over),Referee John Hussey,Umpire Alan Eck,Down Judge Kevin Codey,Line Judge Carl Johnson,Back Judge Brad Freeman,Side Judge Jabir Walker,Field Judge Allen Baynes
20191006,Atlanta Falcons,32,Houston Texans,53,Houston Texans -4.0,49.0 (over),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Bart Longson,Back Judge Dino Paganelli,Side Judge Dave Hawkshaw,Field Judge Dyrol Prioleau
20191006,Tampa Bay Buccaneers,24,New Orleans Saints,31,New Orleans Saints -3.0,46.0 (over),Referee Brad Allen,Umpire Barry Anderson,Down Judge Jim Mello,Line Judge Brian Bolinger,Back Judge Greg Yette,Side Judge Jimmy Russell,Field Judge Steve Zimmer
20191006,Minnesota Vikings,28,New York Giants,10,Minnesota Vikings -5.5,44.0 (under),Referee Clete Blakeman,Umpire Jeff Rice,Down Judge Jerry Bergman,Line Judge Tom Symonette,Back Judge Perry Paganelli,Side Judge Jimmy Buchanan,Field Judge Joe Larrew
20191006,Buffalo Bills,14,Tennessee Titans,7,Tennessee Titans -3.5,39.5 (under),Referee Bradley Rogers,Umpire Tony Michalek,Down Judge Kent Payne,Line Judge Julian Mapp,Back Judge Gregory Steed,Side Judge Don Willard,Field Judge Aaron Santi
20191006,New York Jets,6,Philadelphia Eagles,31,Philadelphia Eagles -14.0,43.0 (under),Referee Adrian Hill,Umpire Roy Ellison,Down Judge David Oliver,Line Judge Michael Spanier,Back Judge Greg Meyer,Side Judge Jim Quirk,Field Judge Land Clark
20191006,Baltimore Ravens,26,Pittsburgh Steelers,23,Baltimore Ravens -3.5,44.0 (over),Referee Walt Anderson,Umpire Ruben Fowler,Down Judge Tom Stephan,Line Judge Byron Boston,Back Judge Keith Ferguson,Side Judge Rick Patterson,Field Judge Keith Washington
20191006,Chicago Bears,21,Oakland Raiders,24,Chicago Bears -6.5,39.5 (over),Referee Tony Corrente,Umpire Bill Schuster,Down Judge Dana McKenzie,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Boris Cheek,Field Judge Anthony Jeffries
20191006,New England Patriots,33,Washington Redskins,7,New England Patriots -15.5,42.0 (under),Referee Clay Martin,Umpire Dan Ferrell,Down Judge Jerod Phillips,Line Judge Gary Arthur,Back Judge Gregory Wilson,Side Judge Greg Gautreaux,Field Judge Nathan Jones
20191006,Denver Broncos,20,Los Angeles Chargers,13,Los Angeles Chargers -4.0,46.0 (under),Referee Shawn Hochuli,Umpire Paul King,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge James Coleman,Field Judge Tom Hill
20191006,Green Bay Packers,34,Dallas Cowboys,24,Dallas Cowboys -3.5,46.5 (over),Referee Ronald Torbert,Umpire Terry Killens,Down Judge Sarah Thomas,Line Judge Mark Steinkerchner,Back Judge Anthony Josselyn,Side Judge Scott Edwards,Field Judge Ryan Dickson
20191006,Indianapolis Colts,19,Kansas City Chiefs,13,Kansas City Chiefs -10.5,55.5 (under),Referee Craig Wrolstad,Umpire Steven Woods,Down Judge Patrick Turner,Line Judge Tripp Sutter,Back Judge Scott Helverson,Side Judge Jeff Lamberth,Field Judge Terry Brown
20191007,Cleveland Browns,3,San Francisco 49ers,31,San Francisco 49ers -5.0,47.5 (under),Referee Jerome Boger,Umpire Carl Paganelli,Down Judge Patrick Holt,Line Judge Rusty Baynes,Back Judge Tony Steratore,Side Judge Jonah Monroe,Field Judge David Meslow
