Date,Away Team,Away Score,Home Team,Home Score,Spread,Over/Under,Referee,Umpire,Down Judge,Line Judge,Back Judge,Side Judge,Field Judge
20190919,Tennessee Titans,7,Jacksonville Jaguars,20,Tennessee Titans -1.5,38.0 (under),Referee Shawn Hochuli,Umpire Paul King,Down Judge Ed Camp,Line Judge Greg Bradley,Back Judge Rich Martinez,Side Judge James Coleman,Field Judge Tom Hill
20190922,Cincinnati Bengals,17,Buffalo Bills,21,Buffalo Bills -5.5,43.5 (under),Referee Clete Blakeman,Umpire Jeff Rice,Down Judge Jerry Bergman,Line Judge Tom Symonette,Back Judge Perry Paganelli,Side Judge Jimmy Buchanan,Field Judge Joe Larrew
20190922,Atlanta Falcons,24,Indianapolis Colts,27,Indianapolis Colts -1.0,48.0 (over),Referee Alex Kemp,Umpire Dan Ferrell,Down Judge Mike Carr,Line Judge Jeff Bergman,Back Judge Steve Freeman,Side Judge Dale Shaw,Field Judge John Jenkins
20190922,Miami Dolphins,6,Dallas Cowboys,31,Dallas Cowboys -22.0,46.5 (under),Referee Adrian Hill,Umpire Roy Ellison,Down Judge David Oliver,Line Judge Mark Stewart,Back Judge Greg Meyer,Side Judge Jim Quirk,Field Judge Land Clark
20190922,Denver Broncos,16,Green Bay Packers,27,Green Bay Packers -7.0,42.0 (over),Referee Bradley Rogers,Umpire Tony Michalek,Down Judge Kent Payne,Line Judge Julian Mapp,Back Judge Gregory Steed,Side Judge Don Willard,Field Judge Aaron Santi
20190922,Baltimore Ravens,28,Kansas City Chiefs,33,Kansas City Chiefs -4.5,52.0 (over),Referee  John Hussey,Umpire  Alan Eck,Down Judge  Kevin Codey,Line Judge Johnson Carl,Back Judge  Brad Freeman,Side Judge  Jabir Walker,Field Judge  Allen Baynes
20190922,Oakland Raiders,14,Minnesota Vikings,34,Minnesota Vikings -8.5,43.0 (over),Referee Jerome Boger,Umpire Carl Paganelli,Down Judge Patrick Holt,Line Judge Rusty Baynes,Back Judge Tony Steratore,Side Judge Jonah Monroe,Field Judge David Meslow
20190922,New York Jets,14,New England Patriots,30,New England Patriots -20.5,43.0 (over),Referee Carl Cheffers,Umpire Mark Pellis,Down Judge Danny Short,Line Judge Jeff Seeman,Back Judge Matthew Edwards,Side Judge Eugene Hall,Field Judge Michael Banks
20190922,Detroit Lions,27,Philadelphia Eagles,24,Philadelphia Eagles -4.0,45.0 (over),Referee Tony Corrente,Umpire Bill Schuster,Down Judge Dana McKenzie,Line Judge Tim Podraza,Back Judge Todd Prukop,Side Judge Boris Cheek,Field Judge Anthony Jeffries
20190922,Carolina Panthers,38,Arizona Cardinals,20,Arizona Cardinals -2.5,46.0 (over),Referee Craig Wrolstad,Umpire Steven Woods,Down Judge Patrick Turner,Line Judge Tripp Sutter,Back Judge Scott Helverson,Side Judge Jeff Lamberth,Field Judge Terry Brown
20190922,New York Giants,32,Tampa Bay Buccaneers,31,Tampa Bay Buccaneers -5.0,48.0 (over),Referee Bill Vinovich,Umpire Bruce Stitesky,Down Judge Phil McKinnely,Line Judge Mark Perlman,Back Judge Steve Patrick,Side Judge Greg Gautreaux,Field Judge Mearl Robinson
20190922,Houston Texans,27,Los Angeles Chargers,20,Los Angeles Chargers -3.0,49.0 (under),Referee Clay Martin,Umpire Fred Bryan,Down Judge Jerod Phillips,Line Judge Gary Arthur,Back Judge Gregory Wilson,Side Judge Gary Cavaletto,Field Judge Nathan Jones
20190922,New Orleans Saints,33,Seattle Seahawks,27,Seattle Seahawks -5.0,44.0 (over),Referee Ronald Torbert,Umpire Terry Killens,Down Judge Sarah Thomas,Line Judge Mark Steinkerchner,Back Judge Anthony Josselyn,Side Judge Scott Edwards,Field Judge Keith Washington
20190922,Pittsburgh Steelers,20,San Francisco 49ers,24,San Francisco 49ers -6.0,44.5 (under),Referee Scott Novak,Umpire Ramon George,Down Judge Derick Bowers,Line Judge Brian Bolinger,Back Judge Terrence Miles,Side Judge Chad Hill,Field Judge Mike Weatherford
20190922,Los Angeles Rams,20,Cleveland Browns,13,Los Angeles Rams -4.0,48.0 (under),Referee Shawn Smith,Umpire Bryan Neale,Down Judge Mark Hittner,Line Judge Bart Longson,Back Judge Dino Paganelli,Side Judge Dave Hawkshaw,Field Judge Dyrol Prioleau
20190923,Chicago Bears,31,Washington Redskins,15,Chicago Bears -5.0,41.0 (over),Referee Walt Anderson,Umpire Ruben Fowler,Down Judge Tom Stephan,Line Judge Byron Boston,Back Judge Keith Ferguson,Side Judge Rick Patterson,Field Judge Lee Dyer
